run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
SRR16873583	SAMN22998362	SRX13066578	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/083/SRR16873583/SRR16873583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/083/SRR16873583/SRR16873583_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/083/SRR16873583	
SRR16873586	SAMN22998359	SRX13066575	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/086/SRR16873586/SRR16873586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/086/SRR16873586/SRR16873586_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/086/SRR16873586	
SRR16873589	SAMN22998327	SRX13066572	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/089/SRR16873589/SRR16873589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/089/SRR16873589/SRR16873589_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/089/SRR16873589	
SRR16873591	SAMN22998272	SRX13066570	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/091/SRR16873591/SRR16873591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/091/SRR16873591/SRR16873591_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/091/SRR16873591	
SRR16873580	SAMN22998365	SRX13066581	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/080/SRR16873580/SRR16873580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/080/SRR16873580/SRR16873580_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/080/SRR16873580	
SRR16873585	SAMN22998360	SRX13066576	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/085/SRR16873585/SRR16873585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/085/SRR16873585/SRR16873585_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/085/SRR16873585	
SRR16873592	SAMN22998325	SRX13066569	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/092/SRR16873592/SRR16873592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/092/SRR16873592/SRR16873592_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/092/SRR16873592	
SRR16873590	SAMN22998326	SRX13066571	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/090/SRR16873590/SRR16873590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/090/SRR16873590/SRR16873590_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/090/SRR16873590	
SRR16873596	SAMN22998321	SRX13066565	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/096/SRR16873596/SRR16873596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/096/SRR16873596/SRR16873596_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/096/SRR16873596	
SRR16873595	SAMN22998322	SRX13066566	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/095/SRR16873595/SRR16873595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/095/SRR16873595/SRR16873595_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/095/SRR16873595	
SRR16873601	SAMN22998316	SRX13066560	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/001/SRR16873601/SRR16873601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/001/SRR16873601/SRR16873601_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/001/SRR16873601	
SRR16873597	SAMN22998320	SRX13066564	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/097/SRR16873597/SRR16873597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/097/SRR16873597/SRR16873597_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/097/SRR16873597	
SRR16873602	SAMN22998271	SRX13066559	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/002/SRR16873602/SRR16873602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/002/SRR16873602/SRR16873602_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/002/SRR16873602	
SRR16873608	SAMN22998310	SRX13066553	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/008/SRR16873608/SRR16873608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/008/SRR16873608/SRR16873608_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/008/SRR16873608	
SRR16873603	SAMN22998315	SRX13066558	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/003/SRR16873603/SRR16873603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/003/SRR16873603/SRR16873603_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/003/SRR16873603	
SRR16873609	SAMN22998309	SRX13066552	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/009/SRR16873609/SRR16873609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/009/SRR16873609/SRR16873609_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/009/SRR16873609	
SRR16873604	SAMN22998314	SRX13066557	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/004/SRR16873604/SRR16873604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/004/SRR16873604/SRR16873604_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/004/SRR16873604	
SRR16873611	SAMN22998307	SRX13066550	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/011/SRR16873611/SRR16873611.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/011/SRR16873611	
SRR16873605	SAMN22998313	SRX13066556	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/005/SRR16873605/SRR16873605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/005/SRR16873605/SRR16873605_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/005/SRR16873605	
SRR16873620	SAMN22998450	SRX13066541	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/020/SRR16873620/SRR16873620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/020/SRR16873620/SRR16873620_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/020/SRR16873620	
SRR16873624	SAMN22998446	SRX13066537	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/024/SRR16873624/SRR16873624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/024/SRR16873624/SRR16873624_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/024/SRR16873624	
SRR16873610	SAMN22998308	SRX13066551	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/010/SRR16873610/SRR16873610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/010/SRR16873610/SRR16873610_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/010/SRR16873610	
SRR16873627	SAMN22998444	SRX13066534	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/027/SRR16873627/SRR16873627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/027/SRR16873627/SRR16873627_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/027/SRR16873627	
SRR16873612	SAMN22998306	SRX13066549	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/012/SRR16873612/SRR16873612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/012/SRR16873612/SRR16873612_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/012/SRR16873612	
SRR16873616	SAMN22998303	SRX13066545	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/016/SRR16873616/SRR16873616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/016/SRR16873616/SRR16873616_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/016/SRR16873616	
SRR16873630	SAMN22998441	SRX13066531	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/030/SRR16873630/SRR16873630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/030/SRR16873630/SRR16873630_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/030/SRR16873630	
SRR16873617	SAMN22998302	SRX13066544	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/017/SRR16873617/SRR16873617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/017/SRR16873617/SRR16873617_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/017/SRR16873617	
SRR16873632	SAMN22998439	SRX13066529	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/032/SRR16873632/SRR16873632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/032/SRR16873632/SRR16873632_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/032/SRR16873632	
SRR16873623	SAMN22998447	SRX13066538	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/023/SRR16873623/SRR16873623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/023/SRR16873623/SRR16873623_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/023/SRR16873623	
SRR16873635	SAMN22998436	SRX13066526	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/035/SRR16873635/SRR16873635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/035/SRR16873635/SRR16873635_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/035/SRR16873635	
SRR16873649	SAMN22998424	SRX13066512	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/049/SRR16873649/SRR16873649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/049/SRR16873649/SRR16873649_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/049/SRR16873649	
SRR16873650	SAMN22998423	SRX13066511	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/050/SRR16873650/SRR16873650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/050/SRR16873650/SRR16873650_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/050/SRR16873650	
SRR16873629	SAMN22998442	SRX13066532	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/029/SRR16873629/SRR16873629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/029/SRR16873629/SRR16873629_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/029/SRR16873629	
SRR16873631	SAMN22998440	SRX13066530	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/031/SRR16873631/SRR16873631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/031/SRR16873631/SRR16873631_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/031/SRR16873631	
SRR16873633	SAMN22998438	SRX13066528	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/033/SRR16873633/SRR16873633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/033/SRR16873633/SRR16873633_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/033/SRR16873633	
SRR16873653	SAMN22998298	SRX13066508	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/053/SRR16873653/SRR16873653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/053/SRR16873653/SRR16873653_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/053/SRR16873653	
SRR16873636	SAMN22998283	SRX13066525	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/036/SRR16873636/SRR16873636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/036/SRR16873636/SRR16873636_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/036/SRR16873636	
SRR16873659	SAMN22998293	SRX13066502	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/059/SRR16873659/SRR16873659_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/059/SRR16873659/SRR16873659_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/059/SRR16873659	
SRR16873637	SAMN22998435	SRX13066524	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/037/SRR16873637/SRR16873637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/037/SRR16873637/SRR16873637_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/037/SRR16873637	
SRR16873638	SAMN22998434	SRX13066523	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/038/SRR16873638/SRR16873638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/038/SRR16873638/SRR16873638_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/038/SRR16873638	
SRR16873660	SAMN22998292	SRX13066501	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/060/SRR16873660/SRR16873660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/060/SRR16873660/SRR16873660_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/060/SRR16873660	
SRR16873639	SAMN22998433	SRX13066522	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/039/SRR16873639/SRR16873639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/039/SRR16873639/SRR16873639_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/039/SRR16873639	
SRR16873662	SAMN22998290	SRX13066499	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/062/SRR16873662/SRR16873662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/062/SRR16873662/SRR16873662_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/062/SRR16873662	
SRR16873641	SAMN22998431	SRX13066520	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/041/SRR16873641/SRR16873641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/041/SRR16873641/SRR16873641_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/041/SRR16873641	
SRR16873663	SAMN22998289	SRX13066498	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/063/SRR16873663/SRR16873663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/063/SRR16873663/SRR16873663_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/063/SRR16873663	
SRR16873642	SAMN22998430	SRX13066519	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/042/SRR16873642/SRR16873642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/042/SRR16873642/SRR16873642_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/042/SRR16873642	
SRR16873643	SAMN22998429	SRX13066518	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/043/SRR16873643/SRR16873643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/043/SRR16873643/SRR16873643_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/043/SRR16873643	
SRR16873668	SAMN22998465	SRX13066493	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/068/SRR16873668/SRR16873668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/068/SRR16873668/SRR16873668_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/068/SRR16873668	
SRR16873645	SAMN22998427	SRX13066516	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/045/SRR16873645/SRR16873645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/045/SRR16873645/SRR16873645_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/045/SRR16873645	
SRR16873675	SAMN22998458	SRX13066486	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/075/SRR16873675/SRR16873675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/075/SRR16873675/SRR16873675_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/075/SRR16873675	
SRR16873679	SAMN22998455	SRX13066482	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/079/SRR16873679/SRR16873679_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/079/SRR16873679/SRR16873679_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/079/SRR16873679	
SRR16873646	SAMN22998426	SRX13066515	PRJNA494620	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/046/SRR16873646/SRR16873646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR168/046/SRR16873646/SRR16873646_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR168/046/SRR16873646	
