Metric,Mean_PD,Mean_Control,Median_PD,Median_Control,MWU_U,MWU_p,Direction
Shannon,2.6446513308638875,2.673483963968179,2.6647508570690017,2.7132660648780567,32465.0,0.5957170435851344,Ctrl>PD
Simpson_1m,0.8535030194944274,0.8599090744111255,0.8771396149051712,0.873498193894316,32985.0,0.8226106304206464,Ctrl>PD
Richness,71.48507462686567,74.11244979919678,66.0,68.0,31823.0,0.36337213821448633,Ctrl>PD
