run_accession	sample_accession	study_accession
SRR5748399	SAMN07270103	PRJNA391524
SRR5748400	SAMN07270100	PRJNA391524
SRR5748401	SAMN07270101	PRJNA391524
SRR5748405	SAMN07270112	PRJNA391524
SRR5748407	SAMN07270110	PRJNA391524
SRR5748408	SAMN07270117	PRJNA391524
SRR5748413	SAMN07270118	PRJNA391524
SRR5748420	SAMN07270070	PRJNA391524
SRR5748421	SAMN07270071	PRJNA391524
SRR5748424	SAMN07270128	PRJNA391524
SRR5748434	SAMN07270139	PRJNA391524
SRR5748435	SAMN07270138	PRJNA391524
SRR5748438	SAMN07270133	PRJNA391524
SRR5748449	SAMN07270141	PRJNA391524
SRR5748455	SAMN07270156	PRJNA391524
SRR5748456	SAMN07270155	PRJNA391524
SRR5748460	SAMN07270151	PRJNA391524
SRR5748463	SAMN07270158	PRJNA391524
SRR5748464	SAMN07270088	PRJNA391524
SRR5748466	SAMN07270080	PRJNA391524
SRR5748467	SAMN07270081	PRJNA391524
SRR5748469	SAMN07270083	PRJNA391524
SRR5748474	SAMN07270095	PRJNA391524
SRR5748475	SAMN07270094	PRJNA391524
SRR5748477	SAMN07270096	PRJNA391524
SRR5748479	SAMN07270090	PRJNA391524
SRR5748481	SAMN07270092	PRJNA391524
SRR5755114	SAMN07270347	PRJNA391524
SRR5755120	SAMN07270345	PRJNA391524
SRR5755121	SAMN07270344	PRJNA391524
SRR5755123	SAMN07270350	PRJNA391524
SRR5755124	SAMN07270338	PRJNA391524
SRR5755125	SAMN07270339	PRJNA391524
SRR5755127	SAMN07270337	PRJNA391524
SRR5755128	SAMN07270334	PRJNA391524
SRR5755129	SAMN07270335	PRJNA391524
SRR5755131	SAMN07270333	PRJNA391524
SRR5755137	SAMN07270282	PRJNA391524
SRR5755144	SAMN07270356	PRJNA391524
SRR5755149	SAMN07270353	PRJNA391524
SRR5755158	SAMN07270305	PRJNA391524
SRR5755160	SAMN07270307	PRJNA391524
SRR5755162	SAMN07270309	PRJNA391524
SRR5755170	SAMN07270325	PRJNA391524
SRR5755173	SAMN07270322	PRJNA391524
SRR5755180	SAMN07270298	PRJNA391524
SRR5755181	SAMN07270299	PRJNA391524
SRR5755184	SAMN07270320	PRJNA391524
SRR5755189	SAMN07270315	PRJNA391524
SRR5755191	SAMN07270317	PRJNA391524
SRR5755195	SAMN07270280	PRJNA391524
SRR5755197	SAMN07270272	PRJNA391524
SRR5755200	SAMN07270277	PRJNA391524
SRR5748395	SAMN07270107	PRJNA391524
SRR5748396	SAMN07270104	PRJNA391524
SRR5748397	SAMN07270105	PRJNA391524
SRR5748402	SAMN07270108	PRJNA391524
SRR5748404	SAMN07270113	PRJNA391524
SRR5748406	SAMN07270111	PRJNA391524
SRR5748410	SAMN07270115	PRJNA391524
SRR5748412	SAMN07270119	PRJNA391524
SRR5748414	SAMN07270078	PRJNA391524
SRR5748416	SAMN07270074	PRJNA391524
SRR5748418	SAMN07270076	PRJNA391524
SRR5748423	SAMN07270073	PRJNA391524
SRR5748426	SAMN07270124	PRJNA391524
SRR5748427	SAMN07270125	PRJNA391524
SRR5748429	SAMN07270127	PRJNA391524
SRR5748430	SAMN07270120	PRJNA391524
SRR5748431	SAMN07270121	PRJNA391524
SRR5748432	SAMN07270122	PRJNA391524
SRR5748433	SAMN07270123	PRJNA391524
SRR5748436	SAMN07270131	PRJNA391524
SRR5748437	SAMN07270130	PRJNA391524
SRR5748440	SAMN07270135	PRJNA391524
SRR5748445	SAMN07270149	PRJNA391524
SRR5748447	SAMN07270143	PRJNA391524
SRR5748448	SAMN07270140	PRJNA391524
SRR5748453	SAMN07270145	PRJNA391524
SRR5748458	SAMN07270153	PRJNA391524
SRR5748461	SAMN07270150	PRJNA391524
SRR5748465	SAMN07270089	PRJNA391524
SRR5748472	SAMN07270086	PRJNA391524
SRR5748473	SAMN07270087	PRJNA391524
SRR5748480	SAMN07270093	PRJNA391524
SRR5755116	SAMN07270349	PRJNA391524
SRR5755118	SAMN07270343	PRJNA391524
SRR5755126	SAMN07270336	PRJNA391524
SRR5755132	SAMN07270340	PRJNA391524
SRR5755138	SAMN07270289	PRJNA391524
SRR5755139	SAMN07270288	PRJNA391524
SRR5755142	SAMN07270291	PRJNA391524
SRR5755143	SAMN07270290	PRJNA391524
SRR5755145	SAMN07270357	PRJNA391524
SRR5755146	SAMN07270358	PRJNA391524
SRR5755147	SAMN07270359	PRJNA391524
SRR5755148	SAMN07270352	PRJNA391524
SRR5755151	SAMN07270355	PRJNA391524
SRR5755154	SAMN07270311	PRJNA391524
SRR5755156	SAMN07270303	PRJNA391524
SRR5755157	SAMN07270302	PRJNA391524
SRR5755159	SAMN07270304	PRJNA391524
SRR5755163	SAMN07270308	PRJNA391524
SRR5755164	SAMN07270331	PRJNA391524
SRR5755165	SAMN07270330	PRJNA391524
SRR5755168	SAMN07270327	PRJNA391524
SRR5755175	SAMN07270301	PRJNA391524
SRR5755177	SAMN07270295	PRJNA391524
SRR5755178	SAMN07270292	PRJNA391524
SRR5755179	SAMN07270293	PRJNA391524
SRR5755182	SAMN07270296	PRJNA391524
SRR5755186	SAMN07270312	PRJNA391524
SRR5755194	SAMN07270281	PRJNA391524
SRR5755199	SAMN07270274	PRJNA391524
SRR5755201	SAMN07270276	PRJNA391524
SRR5755202	SAMN07270279	PRJNA391524
SRR5748394	SAMN07270106	PRJNA391524
SRR5748398	SAMN07270102	PRJNA391524
SRR5748403	SAMN07270109	PRJNA391524
SRR5748409	SAMN07270116	PRJNA391524
SRR5748411	SAMN07270114	PRJNA391524
SRR5748415	SAMN07270079	PRJNA391524
SRR5748417	SAMN07270075	PRJNA391524
SRR5748419	SAMN07270077	PRJNA391524
SRR5748422	SAMN07270072	PRJNA391524
SRR5748425	SAMN07270129	PRJNA391524
SRR5748428	SAMN07270126	PRJNA391524
SRR5748439	SAMN07270132	PRJNA391524
SRR5748441	SAMN07270134	PRJNA391524
SRR5748442	SAMN07270137	PRJNA391524
SRR5748443	SAMN07270136	PRJNA391524
SRR5748444	SAMN07270148	PRJNA391524
SRR5748446	SAMN07270142	PRJNA391524
SRR5748450	SAMN07270146	PRJNA391524
SRR5748451	SAMN07270147	PRJNA391524
SRR5748452	SAMN07270144	PRJNA391524
SRR5748454	SAMN07270157	PRJNA391524
SRR5748457	SAMN07270154	PRJNA391524
SRR5748459	SAMN07270152	PRJNA391524
SRR5748462	SAMN07270159	PRJNA391524
SRR5748468	SAMN07270082	PRJNA391524
SRR5748470	SAMN07270084	PRJNA391524
SRR5748471	SAMN07270085	PRJNA391524
SRR5748476	SAMN07270097	PRJNA391524
SRR5748478	SAMN07270091	PRJNA391524
SRR5748482	SAMN07270099	PRJNA391524
SRR5748483	SAMN07270098	PRJNA391524
SRR5755115	SAMN07270346	PRJNA391524
SRR5755117	SAMN07270348	PRJNA391524
SRR5755119	SAMN07270342	PRJNA391524
SRR5755122	SAMN07270351	PRJNA391524
SRR5755130	SAMN07270332	PRJNA391524
SRR5755133	SAMN07270341	PRJNA391524
SRR5755134	SAMN07270285	PRJNA391524
SRR5755135	SAMN07270284	PRJNA391524
SRR5755136	SAMN07270283	PRJNA391524
SRR5755140	SAMN07270287	PRJNA391524
SRR5755141	SAMN07270286	PRJNA391524
SRR5755150	SAMN07270354	PRJNA391524
SRR5755152	SAMN07270360	PRJNA391524
SRR5755153	SAMN07270361	PRJNA391524
SRR5755155	SAMN07270310	PRJNA391524
SRR5755161	SAMN07270306	PRJNA391524
SRR5755166	SAMN07270329	PRJNA391524
SRR5755167	SAMN07270328	PRJNA391524
SRR5755169	SAMN07270326	PRJNA391524
SRR5755171	SAMN07270324	PRJNA391524
SRR5755172	SAMN07270323	PRJNA391524
SRR5755174	SAMN07270300	PRJNA391524
SRR5755176	SAMN07270294	PRJNA391524
SRR5755183	SAMN07270297	PRJNA391524
SRR5755185	SAMN07270321	PRJNA391524
SRR5755187	SAMN07270313	PRJNA391524
SRR5755188	SAMN07270314	PRJNA391524
SRR5755190	SAMN07270316	PRJNA391524
SRR5755192	SAMN07270318	PRJNA391524
SRR5755193	SAMN07270319	PRJNA391524
SRR5755196	SAMN07270273	PRJNA391524
SRR5755198	SAMN07270275	PRJNA391524
SRR5755203	SAMN07270278	PRJNA391524
