run_accession	sample_accession	study_accession
SRR16873760	SAMN22998381	PRJNA494620
SRR16873762	SAMN22998379	PRJNA494620
SRR16873764	SAMN22998377	PRJNA494620
SRR16873765	SAMN22998376	PRJNA494620
SRR16873769	SAMN22998373	PRJNA494620
SRR16873773	SAMN22998369	PRJNA494620
SRR16873776	SAMN22998366	PRJNA494620
SRR16873777	SAMN22998276	PRJNA494620
SRR16873779	SAMN22998266	PRJNA494620
SRR16873580	SAMN22998365	PRJNA494620
SRR16873585	SAMN22998360	PRJNA494620
SRR16873590	SAMN22998326	PRJNA494620
SRR16873596	SAMN22998321	PRJNA494620
SRR16873601	SAMN22998316	PRJNA494620
SRR16873602	SAMN22998271	PRJNA494620
SRR16873603	SAMN22998315	PRJNA494620
SRR16873604	SAMN22998314	PRJNA494620
SRR16873605	SAMN22998313	PRJNA494620
SRR16873610	SAMN22998308	PRJNA494620
SRR16873612	SAMN22998306	PRJNA494620
SRR16873616	SAMN22998303	PRJNA494620
SRR16873617	SAMN22998302	PRJNA494620
SRR16873623	SAMN22998447	PRJNA494620
SRR16873629	SAMN22998442	PRJNA494620
SRR16873631	SAMN22998440	PRJNA494620
SRR16873633	SAMN22998438	PRJNA494620
SRR16873636	SAMN22998283	PRJNA494620
SRR16873637	SAMN22998435	PRJNA494620
SRR16873638	SAMN22998434	PRJNA494620
SRR16873639	SAMN22998433	PRJNA494620
SRR16873641	SAMN22998431	PRJNA494620
SRR16873642	SAMN22998430	PRJNA494620
SRR16873643	SAMN22998429	PRJNA494620
SRR16873645	SAMN22998427	PRJNA494620
SRR16873646	SAMN22998426	PRJNA494620
SRR16873648	SAMN22998425	PRJNA494620
SRR16873651	SAMN22998422	PRJNA494620
SRR16873654	SAMN22998297	PRJNA494620
SRR16873657	SAMN22998295	PRJNA494620
SRR16873658	SAMN22998294	PRJNA494620
SRR16873661	SAMN22998291	PRJNA494620
SRR16873665	SAMN22998287	PRJNA494620
SRR16873667	SAMN22998268	PRJNA494620
SRR16873670	SAMN22998463	PRJNA494620
SRR16873674	SAMN22998459	PRJNA494620
SRR16873678	SAMN22998285	PRJNA494620
SRR16873684	SAMN22998357	PRJNA494620
SRR16873685	SAMN22998356	PRJNA494620
SRR16873688	SAMN22998354	PRJNA494620
SRR16873690	SAMN22998352	PRJNA494620
SRR16873694	SAMN22998348	PRJNA494620
SRR16873699	SAMN22998344	PRJNA494620
SRR16873702	SAMN22998341	PRJNA494620
SRR16873704	SAMN22998339	PRJNA494620
SRR16873705	SAMN22998338	PRJNA494620
SRR16873707	SAMN22998336	PRJNA494620
SRR16873725	SAMN22998413	PRJNA494620
SRR16873727	SAMN22998411	PRJNA494620
SRR16873728	SAMN22998410	PRJNA494620
SRR16873732	SAMN22998406	PRJNA494620
SRR16873736	SAMN22998403	PRJNA494620
SRR16873737	SAMN22998402	PRJNA494620
SRR16873739	SAMN22998400	PRJNA494620
SRR16873740	SAMN22998399	PRJNA494620
SRR16873742	SAMN22998397	PRJNA494620
SRR16873743	SAMN22998396	PRJNA494620
SRR16873744	SAMN22998279	PRJNA494620
SRR16873752	SAMN22998388	PRJNA494620
SRR16873753	SAMN22998387	PRJNA494620
SRR16873754	SAMN22998386	PRJNA494620
SRR16873758	SAMN22998383	PRJNA494620
SRR16873763	SAMN22998378	PRJNA494620
SRR16873766	SAMN22998277	PRJNA494620
SRR16873770	SAMN22998372	PRJNA494620
SRR16873771	SAMN22998371	PRJNA494620
SRR16873772	SAMN22998370	PRJNA494620
SRR16873774	SAMN22998368	PRJNA494620
SRR16873581	SAMN22998364	PRJNA494620
SRR16873582	SAMN22998363	PRJNA494620
SRR16873584	SAMN22998361	PRJNA494620
SRR16873587	SAMN22998358	PRJNA494620
SRR16873588	SAMN22998328	PRJNA494620
SRR16873593	SAMN22998324	PRJNA494620
SRR16873594	SAMN22998323	PRJNA494620
SRR16873598	SAMN22998319	PRJNA494620
SRR16873599	SAMN22998318	PRJNA494620
SRR16873600	SAMN22998317	PRJNA494620
SRR16873606	SAMN22998312	PRJNA494620
SRR16873607	SAMN22998311	PRJNA494620
SRR16873613	SAMN22998270	PRJNA494620
SRR16873614	SAMN22998305	PRJNA494620
SRR16873615	SAMN22998304	PRJNA494620
SRR16873618	SAMN22998301	PRJNA494620
SRR16873619	SAMN22998300	PRJNA494620
SRR16873621	SAMN22998449	PRJNA494620
SRR16873622	SAMN22998448	PRJNA494620
SRR16873625	SAMN22998284	PRJNA494620
SRR16873626	SAMN22998445	PRJNA494620
SRR16873628	SAMN22998443	PRJNA494620
SRR16873634	SAMN22998437	PRJNA494620
SRR16873640	SAMN22998432	PRJNA494620
SRR16873644	SAMN22998428	PRJNA494620
SRR16873647	SAMN22998282	PRJNA494620
SRR16873652	SAMN22998299	PRJNA494620
SRR16873655	SAMN22998296	PRJNA494620
SRR16873656	SAMN22998269	PRJNA494620
SRR16873664	SAMN22998288	PRJNA494620
SRR16873666	SAMN22998286	PRJNA494620
SRR16873669	SAMN22998464	PRJNA494620
SRR16873671	SAMN22998462	PRJNA494620
SRR16873672	SAMN22998461	PRJNA494620
SRR16873673	SAMN22998460	PRJNA494620
SRR16873676	SAMN22998457	PRJNA494620
SRR16873677	SAMN22998456	PRJNA494620
SRR16873681	SAMN22998453	PRJNA494620
SRR16873686	SAMN22998275	PRJNA494620
SRR16873689	SAMN22998353	PRJNA494620
SRR16873691	SAMN22998351	PRJNA494620
SRR16873693	SAMN22998349	PRJNA494620
SRR16873698	SAMN22998345	PRJNA494620
SRR16873701	SAMN22998342	PRJNA494620
SRR16873703	SAMN22998340	PRJNA494620
SRR16873711	SAMN22998333	PRJNA494620
SRR16873712	SAMN22998332	PRJNA494620
SRR16873714	SAMN22998330	PRJNA494620
SRR16873716	SAMN22998421	PRJNA494620
SRR16873718	SAMN22998419	PRJNA494620
SRR16873721	SAMN22998416	PRJNA494620
SRR16873722	SAMN22998281	PRJNA494620
SRR16873724	SAMN22998414	PRJNA494620
SRR16873729	SAMN22998409	PRJNA494620
SRR16873733	SAMN22998280	PRJNA494620
SRR16873734	SAMN22998405	PRJNA494620
SRR16873735	SAMN22998404	PRJNA494620
SRR16873738	SAMN22998401	PRJNA494620
SRR16873741	SAMN22998398	PRJNA494620
SRR16873745	SAMN22998395	PRJNA494620
SRR16873746	SAMN22998394	PRJNA494620
SRR16873747	SAMN22998393	PRJNA494620
SRR16873748	SAMN22998392	PRJNA494620
SRR16873750	SAMN22998390	PRJNA494620
SRR16873751	SAMN22998389	PRJNA494620
SRR16873761	SAMN22998380	PRJNA494620
SRR16873767	SAMN22998375	PRJNA494620
SRR16873768	SAMN22998374	PRJNA494620
SRR16873775	SAMN22998367	PRJNA494620
SRR16873778	SAMN22998267	PRJNA494620
