run_accession	sample_accession	study_accession
SRR16873583	SAMN22998362	PRJNA494620
SRR16873586	SAMN22998359	PRJNA494620
SRR16873589	SAMN22998327	PRJNA494620
SRR16873591	SAMN22998272	PRJNA494620
SRR16873592	SAMN22998325	PRJNA494620
SRR16873595	SAMN22998322	PRJNA494620
SRR16873597	SAMN22998320	PRJNA494620
SRR16873608	SAMN22998310	PRJNA494620
SRR16873609	SAMN22998309	PRJNA494620
SRR16873611	SAMN22998307	PRJNA494620
SRR16873620	SAMN22998450	PRJNA494620
SRR16873624	SAMN22998446	PRJNA494620
SRR16873627	SAMN22998444	PRJNA494620
SRR16873630	SAMN22998441	PRJNA494620
SRR16873632	SAMN22998439	PRJNA494620
SRR16873635	SAMN22998436	PRJNA494620
SRR16873649	SAMN22998424	PRJNA494620
SRR16873650	SAMN22998423	PRJNA494620
SRR16873653	SAMN22998298	PRJNA494620
SRR16873659	SAMN22998293	PRJNA494620
SRR16873660	SAMN22998292	PRJNA494620
SRR16873662	SAMN22998290	PRJNA494620
SRR16873663	SAMN22998289	PRJNA494620
SRR16873668	SAMN22998465	PRJNA494620
SRR16873675	SAMN22998458	PRJNA494620
SRR16873679	SAMN22998455	PRJNA494620
SRR16873680	SAMN22998454	PRJNA494620
SRR16873682	SAMN22998452	PRJNA494620
SRR16873683	SAMN22998451	PRJNA494620
SRR16873687	SAMN22998355	PRJNA494620
SRR16873692	SAMN22998350	PRJNA494620
SRR16873695	SAMN22998347	PRJNA494620
SRR16873696	SAMN22998346	PRJNA494620
SRR16873697	SAMN22998274	PRJNA494620
SRR16873700	SAMN22998343	PRJNA494620
SRR16873706	SAMN22998337	PRJNA494620
SRR16873708	SAMN22998273	PRJNA494620
SRR16873709	SAMN22998335	PRJNA494620
SRR16873710	SAMN22998334	PRJNA494620
SRR16873713	SAMN22998331	PRJNA494620
SRR16873715	SAMN22998329	PRJNA494620
SRR16873717	SAMN22998420	PRJNA494620
SRR16873719	SAMN22998418	PRJNA494620
SRR16873720	SAMN22998417	PRJNA494620
SRR16873723	SAMN22998415	PRJNA494620
SRR16873726	SAMN22998412	PRJNA494620
SRR16873730	SAMN22998408	PRJNA494620
SRR16873731	SAMN22998407	PRJNA494620
SRR16873749	SAMN22998391	PRJNA494620
SRR16873755	SAMN22998278	PRJNA494620
SRR16873756	SAMN22998385	PRJNA494620
SRR16873757	SAMN22998384	PRJNA494620
SRR16873759	SAMN22998382	PRJNA494620
