run_accession	sample_accession	study_accession
SRR5440363	SAMN06678651	PRJNA381395
SRR5440364	SAMN06678650	PRJNA381395
SRR5440370	SAMN06678644	PRJNA381395
SRR5440376	SAMN06678638	PRJNA381395
SRR5431262	SAMN06675906	PRJNA381395
SRR5431263	SAMN06675905	PRJNA381395
SRR5431267	SAMN06675900	PRJNA381395
SRR5431272	SAMN06675893	PRJNA381395
SRR5431276	SAMN06675888	PRJNA381395
SRR5431277	SAMN06675886	PRJNA381395
SRR5431278	SAMN06675885	PRJNA381395
SRR5431290	SAMN06675864	PRJNA381395
SRR5431295	SAMN06675856	PRJNA381395
SRR5431303	SAMN06675847	PRJNA381395
SRR5431328	SAMN06675904	PRJNA381395
SRR5431338	SAMN06675894	PRJNA381395
SRR5431353	SAMN06675879	PRJNA381395
SRR5431357	SAMN06675875	PRJNA381395
SRR5431382	SAMN06675850	PRJNA381395
SRR5431427	SAMN06675809	PRJNA381395
SRR5431438	SAMN06675800	PRJNA381395
SRR5431448	SAMN06675790	PRJNA381395
SRR5431456	SAMN06675782	PRJNA381395
SRR5431458	SAMN06675781	PRJNA381395
SRR5431464	SAMN06675775	PRJNA381395
SRR5431468	SAMN06675771	PRJNA381395
SRR5431481	SAMN06675758	PRJNA381395
SRR5431529	SAMN06675713	PRJNA381395
SRR5431541	SAMN06675701	PRJNA381395
SRR5431546	SAMN06675696	PRJNA381395
SRR5431563	SAMN06678628	PRJNA381395
SRR5440326	SAMN06678675	PRJNA381395
SRR5440339	SAMN06678672	PRJNA381395
SRR5440341	SAMN06678670	PRJNA381395
SRR5440344	SAMN06678667	PRJNA381395
SRR5440345	SAMN06678666	PRJNA381395
SRR5440347	SAMN06678664	PRJNA381395
SRR5440351	SAMN06678661	PRJNA381395
SRR5440355	SAMN06678658	PRJNA381395
SRR5440356	SAMN06678657	PRJNA381395
SRR5440357	SAMN06678656	PRJNA381395
SRR5440362	SAMN06678652	PRJNA381395
SRR5440365	SAMN06678649	PRJNA381395
SRR5440366	SAMN06678648	PRJNA381395
SRR5440367	SAMN06678647	PRJNA381395
SRR5440369	SAMN06678645	PRJNA381395
SRR5440372	SAMN06678642	PRJNA381395
SRR5440373	SAMN06678641	PRJNA381395
SRR5440374	SAMN06678640	PRJNA381395
SRR5440375	SAMN06678639	PRJNA381395
SRR5431261	SAMN06675909	PRJNA381395
SRR5431264	SAMN06675904	PRJNA381395
SRR5431269	SAMN06675898	PRJNA381395
SRR5431271	SAMN06675894	PRJNA381395
SRR5431274	SAMN06675890	PRJNA381395
SRR5431279	SAMN06675882	PRJNA381395
SRR5431280	SAMN06675881	PRJNA381395
SRR5431282	SAMN06675877	PRJNA381395
SRR5431285	SAMN06675869	PRJNA381395
SRR5431288	SAMN06675866	PRJNA381395
SRR5431296	SAMN06675855	PRJNA381395
SRR5431301	SAMN06675849	PRJNA381395
SRR5431306	SAMN06675844	PRJNA381395
SRR5431308	SAMN06675842	PRJNA381395
SRR5431309	SAMN06675841	PRJNA381395
SRR5431318	SAMN06675914	PRJNA381395
SRR5431319	SAMN06675913	PRJNA381395
SRR5431346	SAMN06675886	PRJNA381395
SRR5431347	SAMN06675885	PRJNA381395
SRR5431351	SAMN06675881	PRJNA381395
SRR5431352	SAMN06675880	PRJNA381395
SRR5431354	SAMN06675878	PRJNA381395
SRR5431356	SAMN06675876	PRJNA381395
SRR5431368	SAMN06675864	PRJNA381395
SRR5431370	SAMN06675862	PRJNA381395
SRR5431372	SAMN06675860	PRJNA381395
SRR5431375	SAMN06675857	PRJNA381395
SRR5431383	SAMN06675849	PRJNA381395
SRR5431384	SAMN06675848	PRJNA381395
SRR5431385	SAMN06675847	PRJNA381395
SRR5431390	SAMN06675842	PRJNA381395
SRR5431392	SAMN06675840	PRJNA381395
SRR5431395	SAMN06675837	PRJNA381395
SRR5431396	SAMN06675836	PRJNA381395
SRR5431397	SAMN06675835	PRJNA381395
SRR5431401	SAMN06675831	PRJNA381395
SRR5431414	SAMN06675821	PRJNA381395
SRR5431415	SAMN06675820	PRJNA381395
SRR5431423	SAMN06675813	PRJNA381395
SRR5431426	SAMN06675810	PRJNA381395
SRR5431430	SAMN06675806	PRJNA381395
SRR5431440	SAMN06675798	PRJNA381395
SRR5431444	SAMN06675794	PRJNA381395
SRR5431454	SAMN06675784	PRJNA381395
SRR5431455	SAMN06675783	PRJNA381395
SRR5431467	SAMN06675772	PRJNA381395
SRR5431469	SAMN06675770	PRJNA381395
SRR5431471	SAMN06675768	PRJNA381395
SRR5431473	SAMN06675766	PRJNA381395
SRR5431476	SAMN06675763	PRJNA381395
SRR5431486	SAMN06675754	PRJNA381395
SRR5431494	SAMN06675748	PRJNA381395
SRR5431498	SAMN06675744	PRJNA381395
SRR5431504	SAMN06675738	PRJNA381395
SRR5431506	SAMN06675736	PRJNA381395
SRR5431512	SAMN06675730	PRJNA381395
SRR5431520	SAMN06675722	PRJNA381395
SRR5431523	SAMN06675719	PRJNA381395
SRR5431531	SAMN06675711	PRJNA381395
SRR5431532	SAMN06675710	PRJNA381395
SRR5431536	SAMN06675706	PRJNA381395
SRR5431549	SAMN06675693	PRJNA381395
SRR5431558	SAMN06678628	PRJNA381395
SRR5431561	SAMN06678628	PRJNA381395
SRR5431562	SAMN06678628	PRJNA381395
SRR5431564	SAMN06678628	PRJNA381395
SRR5431566	SAMN06678628	PRJNA381395
SRR5431572	SAMN06678628	PRJNA381395
