run_accession	sample_accession	study_accession
ERR2730219	SAMEA4821283	PRJEB27564
ERR2730227	SAMEA4821291	PRJEB27564
ERR2730230	SAMEA4821294	PRJEB27564
ERR2730232	SAMEA4821296	PRJEB27564
ERR2730233	SAMEA4821297	PRJEB27564
ERR2730236	SAMEA4821300	PRJEB27564
ERR2730238	SAMEA4821302	PRJEB27564
ERR2730239	SAMEA4821303	PRJEB27564
ERR2730244	SAMEA4821308	PRJEB27564
ERR2730254	SAMEA4821318	PRJEB27564
ERR2730258	SAMEA4821322	PRJEB27564
ERR2730259	SAMEA4821323	PRJEB27564
ERR2730260	SAMEA4821324	PRJEB27564
ERR2730262	SAMEA4821326	PRJEB27564
ERR2730269	SAMEA4821333	PRJEB27564
ERR2730270	SAMEA4821334	PRJEB27564
ERR2730271	SAMEA4821335	PRJEB27564
ERR2730277	SAMEA4821341	PRJEB27564
ERR2730284	SAMEA4821348	PRJEB27564
ERR2730293	SAMEA4821357	PRJEB27564
ERR2730295	SAMEA4821359	PRJEB27564
ERR2730302	SAMEA4821366	PRJEB27564
ERR2730305	SAMEA4821369	PRJEB27564
ERR2730307	SAMEA4821371	PRJEB27564
ERR2730309	SAMEA4821373	PRJEB27564
ERR2730312	SAMEA4821376	PRJEB27564
ERR2730319	SAMEA4821383	PRJEB27564
ERR2730321	SAMEA4821385	PRJEB27564
ERR2730322	SAMEA4821386	PRJEB27564
ERR2730324	SAMEA4821388	PRJEB27564
ERR2730328	SAMEA4821392	PRJEB27564
ERR2730331	SAMEA4821395	PRJEB27564
ERR2730332	SAMEA4821396	PRJEB27564
ERR2730334	SAMEA4821398	PRJEB27564
ERR2730335	SAMEA4821399	PRJEB27564
ERR2730341	SAMEA4821405	PRJEB27564
ERR2730343	SAMEA4821407	PRJEB27564
ERR2730344	SAMEA4821408	PRJEB27564
ERR2730345	SAMEA4821409	PRJEB27564
ERR2730346	SAMEA4821410	PRJEB27564
ERR2730347	SAMEA4821411	PRJEB27564
ERR2730348	SAMEA4821412	PRJEB27564
ERR2730349	SAMEA4821413	PRJEB27564
ERR2730351	SAMEA4821415	PRJEB27564
ERR2730358	SAMEA4821423	PRJEB27564
ERR2730359	SAMEA4821424	PRJEB27564
ERR2730364	SAMEA4821429	PRJEB27564
ERR2730368	SAMEA4821433	PRJEB27564
ERR2730369	SAMEA4821434	PRJEB27564
ERR2730370	SAMEA4821435	PRJEB27564
ERR2730372	SAMEA4821437	PRJEB27564
ERR2730374	SAMEA4821439	PRJEB27564
ERR2730384	SAMEA4821449	PRJEB27564
ERR2730386	SAMEA4821451	PRJEB27564
ERR2730387	SAMEA4821452	PRJEB27564
ERR2730392	SAMEA4821457	PRJEB27564
ERR2730395	SAMEA4821460	PRJEB27564
ERR2730397	SAMEA4821462	PRJEB27564
ERR2730399	SAMEA4821464	PRJEB27564
ERR3040009	SAMEA5206390	PRJEB27564
ERR3040012	SAMEA5206393	PRJEB27564
ERR3040015	SAMEA5206396	PRJEB27564
ERR3040022	SAMEA5206403	PRJEB27564
ERR3040024	SAMEA5206405	PRJEB27564
ERR3040026	SAMEA5206407	PRJEB27564
ERR3040028	SAMEA5206409	PRJEB27564
ERR3040029	SAMEA5206410	PRJEB27564
ERR3040031	SAMEA5206412	PRJEB27564
ERR3040037	SAMEA5206418	PRJEB27564
ERR3040038	SAMEA5206419	PRJEB27564
ERR3040039	SAMEA5206420	PRJEB27564
ERR3040041	SAMEA5206422	PRJEB27564
ERR3040045	SAMEA5206426	PRJEB27564
ERR3040046	SAMEA5206427	PRJEB27564
ERR3040047	SAMEA5206428	PRJEB27564
ERR3040049	SAMEA5206430	PRJEB27564
ERR3040050	SAMEA5206431	PRJEB27564
ERR3040051	SAMEA5206432	PRJEB27564
ERR2730150	SAMEA4821214	PRJEB27564
ERR2730155	SAMEA4821219	PRJEB27564
ERR2730158	SAMEA4821222	PRJEB27564
ERR2730162	SAMEA4821226	PRJEB27564
ERR2730164	SAMEA4821228	PRJEB27564
ERR2730166	SAMEA4821230	PRJEB27564
ERR2730168	SAMEA4821232	PRJEB27564
ERR2730172	SAMEA4821236	PRJEB27564
ERR2730174	SAMEA4821238	PRJEB27564
ERR2730176	SAMEA4821240	PRJEB27564
ERR2730179	SAMEA4821243	PRJEB27564
ERR2730180	SAMEA4821244	PRJEB27564
ERR2730184	SAMEA4821248	PRJEB27564
ERR2730185	SAMEA4821249	PRJEB27564
ERR2730187	SAMEA4821251	PRJEB27564
ERR2730188	SAMEA4821252	PRJEB27564
ERR2730189	SAMEA4821253	PRJEB27564
ERR2730192	SAMEA4821256	PRJEB27564
ERR2730195	SAMEA4821259	PRJEB27564
ERR2730199	SAMEA4821263	PRJEB27564
ERR2730200	SAMEA4821264	PRJEB27564
ERR2730201	SAMEA4821265	PRJEB27564
ERR2730206	SAMEA4821270	PRJEB27564
ERR2730207	SAMEA4821271	PRJEB27564
ERR2730208	SAMEA4821272	PRJEB27564
ERR2730211	SAMEA4821275	PRJEB27564
ERR2730213	SAMEA4821277	PRJEB27564
ERR2730216	SAMEA4821280	PRJEB27564
ERR2730220	SAMEA4821284	PRJEB27564
ERR2730222	SAMEA4821286	PRJEB27564
ERR2730229	SAMEA4821293	PRJEB27564
ERR2730231	SAMEA4821295	PRJEB27564
ERR2730237	SAMEA4821301	PRJEB27564
ERR2730242	SAMEA4821306	PRJEB27564
ERR2730243	SAMEA4821307	PRJEB27564
ERR2730245	SAMEA4821309	PRJEB27564
ERR2730248	SAMEA4821312	PRJEB27564
ERR2730255	SAMEA4821319	PRJEB27564
ERR2730257	SAMEA4821321	PRJEB27564
ERR2730261	SAMEA4821325	PRJEB27564
ERR2730263	SAMEA4821327	PRJEB27564
ERR2730264	SAMEA4821328	PRJEB27564
ERR2730265	SAMEA4821329	PRJEB27564
ERR2730266	SAMEA4821330	PRJEB27564
ERR2730267	SAMEA4821331	PRJEB27564
ERR2730273	SAMEA4821337	PRJEB27564
ERR2730274	SAMEA4821338	PRJEB27564
ERR2730276	SAMEA4821340	PRJEB27564
ERR2730279	SAMEA4821343	PRJEB27564
ERR2730283	SAMEA4821347	PRJEB27564
ERR2730285	SAMEA4821349	PRJEB27564
ERR2730288	SAMEA4821352	PRJEB27564
ERR2730289	SAMEA4821353	PRJEB27564
ERR2730290	SAMEA4821354	PRJEB27564
ERR2730292	SAMEA4821356	PRJEB27564
ERR2730294	SAMEA4821358	PRJEB27564
ERR2730299	SAMEA4821363	PRJEB27564
ERR2730300	SAMEA4821364	PRJEB27564
ERR2730303	SAMEA4821367	PRJEB27564
ERR2730304	SAMEA4821368	PRJEB27564
ERR2730313	SAMEA4821377	PRJEB27564
ERR2730314	SAMEA4821378	PRJEB27564
ERR2730318	SAMEA4821382	PRJEB27564
ERR2730320	SAMEA4821384	PRJEB27564
ERR2730323	SAMEA4821387	PRJEB27564
ERR2730326	SAMEA4821390	PRJEB27564
ERR2730333	SAMEA4821397	PRJEB27564
ERR2730336	SAMEA4821400	PRJEB27564
ERR2730337	SAMEA4821401	PRJEB27564
ERR2730340	SAMEA4821404	PRJEB27564
ERR2730342	SAMEA4821406	PRJEB27564
ERR2730350	SAMEA4821414	PRJEB27564
ERR2730354	SAMEA4821419	PRJEB27564
ERR2730355	SAMEA4821420	PRJEB27564
ERR2730356	SAMEA4821421	PRJEB27564
ERR2730357	SAMEA4821422	PRJEB27564
ERR2730360	SAMEA4821425	PRJEB27564
ERR2730363	SAMEA4821428	PRJEB27564
ERR2730365	SAMEA4821430	PRJEB27564
ERR2730371	SAMEA4821436	PRJEB27564
ERR2730373	SAMEA4821438	PRJEB27564
ERR2730375	SAMEA4821440	PRJEB27564
ERR2730380	SAMEA4821445	PRJEB27564
ERR2730382	SAMEA4821447	PRJEB27564
ERR2730385	SAMEA4821450	PRJEB27564
ERR2730390	SAMEA4821455	PRJEB27564
ERR2730391	SAMEA4821456	PRJEB27564
ERR2730393	SAMEA4821458	PRJEB27564
ERR2730394	SAMEA4821459	PRJEB27564
ERR2730398	SAMEA4821463	PRJEB27564
ERR2730400	SAMEA4821465	PRJEB27564
ERR2730401	SAMEA4821466	PRJEB27564
ERR2730402	SAMEA4821467	PRJEB27564
ERR2730403	SAMEA4821468	PRJEB27564
ERR3040010	SAMEA5206391	PRJEB27564
ERR3040013	SAMEA5206394	PRJEB27564
ERR3040016	SAMEA5206397	PRJEB27564
ERR3040020	SAMEA5206401	PRJEB27564
ERR3040021	SAMEA5206402	PRJEB27564
ERR3040027	SAMEA5206408	PRJEB27564
ERR3040032	SAMEA5206413	PRJEB27564
ERR3040033	SAMEA5206414	PRJEB27564
ERR3040036	SAMEA5206417	PRJEB27564
ERR3040042	SAMEA5206423	PRJEB27564
ERR3040043	SAMEA5206424	PRJEB27564
ERR3040048	SAMEA5206429	PRJEB27564
