run_accession	sample_accession	study_accession
ERR1549012	SAMEA4356849	PRJEB14928
ERR1549017	SAMEA4356854	PRJEB14928
ERR1549018	SAMEA4356855	PRJEB14928
ERR1549020	SAMEA4356857	PRJEB14928
ERR1549022	SAMEA4356859	PRJEB14928
ERR1549024	SAMEA4356861	PRJEB14928
ERR1549026	SAMEA4356863	PRJEB14928
ERR1549033	SAMEA4356870	PRJEB14928
ERR1549034	SAMEA4356871	PRJEB14928
ERR1549039	SAMEA4356876	PRJEB14928
ERR1549041	SAMEA4356878	PRJEB14928
ERR1549054	SAMEA4356891	PRJEB14928
ERR1549056	SAMEA4356893	PRJEB14928
ERR1549057	SAMEA4356894	PRJEB14928
ERR1549058	SAMEA4356895	PRJEB14928
ERR1549061	SAMEA4356898	PRJEB14928
ERR1549064	SAMEA4356901	PRJEB14928
ERR1549065	SAMEA4356902	PRJEB14928
ERR1549013	SAMEA4356850	PRJEB14928
ERR1549016	SAMEA4356853	PRJEB14928
ERR1549019	SAMEA4356856	PRJEB14928
ERR1549023	SAMEA4356860	PRJEB14928
ERR1549025	SAMEA4356862	PRJEB14928
ERR1549029	SAMEA4356866	PRJEB14928
ERR1549032	SAMEA4356869	PRJEB14928
ERR1549035	SAMEA4356872	PRJEB14928
ERR1549036	SAMEA4356873	PRJEB14928
ERR1549040	SAMEA4356877	PRJEB14928
ERR1549043	SAMEA4356880	PRJEB14928
ERR1549045	SAMEA4356882	PRJEB14928
ERR1549047	SAMEA4356884	PRJEB14928
ERR1549049	SAMEA4356886	PRJEB14928
ERR1549050	SAMEA4356887	PRJEB14928
ERR1549051	SAMEA4356888	PRJEB14928
ERR1549052	SAMEA4356889	PRJEB14928
ERR1549053	SAMEA4356890	PRJEB14928
ERR1549055	SAMEA4356892	PRJEB14928
ERR1549059	SAMEA4356896	PRJEB14928
ERR1549060	SAMEA4356897	PRJEB14928
ERR1549062	SAMEA4356899	PRJEB14928
ERR1549063	SAMEA4356900	PRJEB14928
ERR1549066	SAMEA4356903	PRJEB14928
ERR1549067	SAMEA4356904	PRJEB14928
ERR1549010	SAMEA4356847	PRJEB14928
ERR1549011	SAMEA4356848	PRJEB14928
ERR1549014	SAMEA4356851	PRJEB14928
ERR1549015	SAMEA4356852	PRJEB14928
ERR1549021	SAMEA4356858	PRJEB14928
ERR1549027	SAMEA4356864	PRJEB14928
ERR1549028	SAMEA4356865	PRJEB14928
ERR1549030	SAMEA4356867	PRJEB14928
ERR1549031	SAMEA4356868	PRJEB14928
ERR1549037	SAMEA4356874	PRJEB14928
ERR1549038	SAMEA4356875	PRJEB14928
ERR1549042	SAMEA4356879	PRJEB14928
ERR1549044	SAMEA4356881	PRJEB14928
ERR1549046	SAMEA4356883	PRJEB14928
ERR1549048	SAMEA4356885	PRJEB14928
