run_accession	sample_accession	study_accession
SRR19064828	SAMN28061986	PRJNA834801
SRR19064832	SAMN28061660	PRJNA834801
SRR19064833	SAMN28061983	PRJNA834801
SRR19064843	SAMN28061976	PRJNA834801
SRR19064846	SAMN28061971	PRJNA834801
SRR19064849	SAMN28061967	PRJNA834801
SRR19064851	SAMN28061969	PRJNA834801
SRR19064856	SAMN28061886	PRJNA834801
SRR19064860	SAMN28061650	PRJNA834801
SRR19064863	SAMN28061880	PRJNA834801
SRR19064864	SAMN28061879	PRJNA834801
SRR19064865	SAMN28061882	PRJNA834801
SRR19064868	SAMN28061876	PRJNA834801
SRR19064871	SAMN28061873	PRJNA834801
SRR19064877	SAMN28061868	PRJNA834801
SRR19064878	SAMN28061867	PRJNA834801
SRR19064881	SAMN28061864	PRJNA834801
SRR19064886	SAMN28061860	PRJNA834801
SRR19064887	SAMN28061859	PRJNA834801
SRR19064888	SAMN28061858	PRJNA834801
SRR19064890	SAMN28061856	PRJNA834801
SRR19064893	SAMN28061647	PRJNA834801
SRR19064898	SAMN28061849	PRJNA834801
SRR19064899	SAMN28061848	PRJNA834801
SRR19064900	SAMN28061847	PRJNA834801
SRR19064901	SAMN28061846	PRJNA834801
SRR19064903	SAMN28061844	PRJNA834801
SRR19064916	SAMN28061797	PRJNA834801
SRR19064917	SAMN28061796	PRJNA834801
SRR19064921	SAMN28061793	PRJNA834801
SRR19064922	SAMN28061792	PRJNA834801
SRR19064924	SAMN28061790	PRJNA834801
SRR19064926	SAMN28061788	PRJNA834801
SRR19064930	SAMN28061784	PRJNA834801
SRR19064935	SAMN28061723	PRJNA834801
SRR19064940	SAMN28061719	PRJNA834801
SRR19064942	SAMN28061716	PRJNA834801
SRR19064944	SAMN28061718	PRJNA834801
SRR19064950	SAMN28061709	PRJNA834801
SRR19064958	SAMN28061686	PRJNA834801
SRR19064959	SAMN28062243	PRJNA834801
SRR19064960	SAMN28062242	PRJNA834801
SRR19064966	SAMN28062235	PRJNA834801
SRR19064970	SAMN28062233	PRJNA834801
SRR19064973	SAMN28062230	PRJNA834801
SRR19064975	SAMN28062131	PRJNA834801
SRR19064977	SAMN28062334	PRJNA834801
SRR19064979	SAMN28062333	PRJNA834801
SRR19064983	SAMN28062329	PRJNA834801
SRR19064985	SAMN28062326	PRJNA834801
SRR19064990	SAMN28061631	PRJNA834801
SRR19064994	SAMN28062320	PRJNA834801
SRR19064995	SAMN28062282	PRJNA834801
SRR19064996	SAMN28062319	PRJNA834801
SRR19064997	SAMN28062281	PRJNA834801
SRR19065002	SAMN28062276	PRJNA834801
SRR19065007	SAMN28062272	PRJNA834801
SRR19065008	SAMN28062271	PRJNA834801
SRR19065009	SAMN28062270	PRJNA834801
SRR19065014	SAMN28062268	PRJNA834801
SRR19065015	SAMN28062264	PRJNA834801
SRR19065016	SAMN28061688	PRJNA834801
SRR19065018	SAMN28062207	PRJNA834801
SRR19065025	SAMN28062201	PRJNA834801
SRR19065026	SAMN28062200	PRJNA834801
SRR19065028	SAMN28062198	PRJNA834801
SRR19065030	SAMN28062196	PRJNA834801
SRR19065036	SAMN28062191	PRJNA834801
SRR19065039	SAMN28062133	PRJNA834801
SRR19065040	SAMN28062132	PRJNA834801
SRR19064316	SAMN28062099	PRJNA834801
SRR19064317	SAMN28062217	PRJNA834801
SRR19064320	SAMN28062218	PRJNA834801
SRR19064322	SAMN28061683	PRJNA834801
SRR19064326	SAMN28062210	PRJNA834801
SRR19064328	SAMN28062153	PRJNA834801
SRR19064329	SAMN28062152	PRJNA834801
SRR19064330	SAMN28062151	PRJNA834801
SRR19064331	SAMN28062150	PRJNA834801
SRR19064332	SAMN28062149	PRJNA834801
SRR19064333	SAMN28062148	PRJNA834801
SRR19064334	SAMN28062147	PRJNA834801
SRR19064338	SAMN28061676	PRJNA834801
SRR19064340	SAMN28062142	PRJNA834801
SRR19064341	SAMN28062141	PRJNA834801
SRR19064342	SAMN28062140	PRJNA834801
SRR19064344	SAMN28062138	PRJNA834801
SRR19064347	SAMN28062135	PRJNA834801
SRR19064353	SAMN28062055	PRJNA834801
SRR19064358	SAMN28062050	PRJNA834801
SRR19064359	SAMN28062053	PRJNA834801
SRR19064361	SAMN28062048	PRJNA834801
SRR19064362	SAMN28062047	PRJNA834801
SRR19064367	SAMN28062045	PRJNA834801
SRR19064378	SAMN28061734	PRJNA834801
SRR19064382	SAMN28061732	PRJNA834801
SRR19064385	SAMN28061729	PRJNA834801
SRR19064387	SAMN28061726	PRJNA834801
SRR19064389	SAMN28061728	PRJNA834801
SRR19064393	SAMN28061656	PRJNA834801
SRR19064396	SAMN28061940	PRJNA834801
SRR19064397	SAMN28061943	PRJNA834801
SRR19064404	SAMN28061933	PRJNA834801
SRR19064408	SAMN28061930	PRJNA834801
SRR19064409	SAMN28061929	PRJNA834801
SRR19064410	SAMN28061928	PRJNA834801
SRR19064411	SAMN28061927	PRJNA834801
SRR19064420	SAMN28061901	PRJNA834801
SRR19064421	SAMN28061900	PRJNA834801
SRR19064424	SAMN28061897	PRJNA834801
SRR19064426	SAMN28061895	PRJNA834801
SRR19064427	SAMN28061894	PRJNA834801
SRR19064430	SAMN28061892	PRJNA834801
SRR19064432	SAMN28061890	PRJNA834801
SRR19064439	SAMN28061639	PRJNA834801
SRR19064448	SAMN28061765	PRJNA834801
SRR19064451	SAMN28061763	PRJNA834801
SRR19064459	SAMN28062314	PRJNA834801
SRR19064461	SAMN28062313	PRJNA834801
SRR19064462	SAMN28062312	PRJNA834801
SRR19064466	SAMN28062308	PRJNA834801
SRR19064467	SAMN28062307	PRJNA834801
SRR19064470	SAMN28062304	PRJNA834801
SRR19064471	SAMN28061692	PRJNA834801
SRR19064472	SAMN28062303	PRJNA834801
SRR19064479	SAMN28062259	PRJNA834801
SRR19064480	SAMN28062258	PRJNA834801
SRR19064481	SAMN28062257	PRJNA834801
SRR19064485	SAMN28061687	PRJNA834801
SRR19064487	SAMN28062252	PRJNA834801
SRR19064488	SAMN28062251	PRJNA834801
SRR19064489	SAMN28062250	PRJNA834801
SRR19064495	SAMN28062190	PRJNA834801
SRR19064496	SAMN28062189	PRJNA834801
SRR19064502	SAMN28061680	PRJNA834801
SRR19064504	SAMN28062182	PRJNA834801
SRR19064514	SAMN28062173	PRJNA834801
SRR19064515	SAMN28062117	PRJNA834801
SRR19064516	SAMN28062116	PRJNA834801
SRR19064517	SAMN28062115	PRJNA834801
SRR19064536	SAMN28062227	PRJNA834801
SRR19064538	SAMN28062171	PRJNA834801
SRR19064540	SAMN28062169	PRJNA834801
SRR19064546	SAMN28061678	PRJNA834801
SRR19064548	SAMN28062162	PRJNA834801
SRR19064549	SAMN28062161	PRJNA834801
SRR19064550	SAMN28062160	PRJNA834801
SRR19064552	SAMN28062157	PRJNA834801
SRR19064561	SAMN28062094	PRJNA834801
SRR19064567	SAMN28062090	PRJNA834801
SRR19064568	SAMN28062088	PRJNA834801
SRR19064574	SAMN28061670	PRJNA834801
SRR19064575	SAMN28062083	PRJNA834801
SRR19064580	SAMN28062021	PRJNA834801
SRR19064581	SAMN28062020	PRJNA834801
SRR19064587	SAMN28062017	PRJNA834801
SRR19064588	SAMN28061663	PRJNA834801
SRR19064596	SAMN28062006	PRJNA834801
SRR19064600	SAMN28061658	PRJNA834801
SRR19064601	SAMN28061963	PRJNA834801
SRR19064605	SAMN28061962	PRJNA834801
SRR19064610	SAMN28061657	PRJNA834801
SRR19064617	SAMN28061948	PRJNA834801
SRR19064618	SAMN28061947	PRJNA834801
SRR19064622	SAMN28061924	PRJNA834801
SRR19064623	SAMN28061654	PRJNA834801
SRR19064625	SAMN28061923	PRJNA834801
SRR19064632	SAMN28061916	PRJNA834801
SRR19064635	SAMN28061653	PRJNA834801
SRR19064639	SAMN28061913	PRJNA834801
SRR19064641	SAMN28061908	PRJNA834801
SRR19064642	SAMN28061833	PRJNA834801
SRR19064646	SAMN28061829	PRJNA834801
SRR19064648	SAMN28061827	PRJNA834801
SRR19064652	SAMN28061644	PRJNA834801
SRR19064653	SAMN28061626	PRJNA834801
SRR19064657	SAMN28061820	PRJNA834801
SRR19064658	SAMN28061819	PRJNA834801
SRR19064666	SAMN28061812	PRJNA834801
SRR19064673	SAMN28061805	PRJNA834801
SRR19064675	SAMN28061642	PRJNA834801
SRR19064677	SAMN28061802	PRJNA834801
SRR19064678	SAMN28061801	PRJNA834801
SRR19064682	SAMN28061761	PRJNA834801
SRR19064684	SAMN28061759	PRJNA834801
SRR19064686	SAMN28061757	PRJNA834801
SRR19064687	SAMN28061756	PRJNA834801
SRR19064688	SAMN28061755	PRJNA834801
SRR19064691	SAMN28061753	PRJNA834801
SRR19064692	SAMN28061752	PRJNA834801
SRR19064693	SAMN28061751	PRJNA834801
SRR19064699	SAMN28061745	PRJNA834801
