run_accession	sample_accession	study_accession
SRR19064319	SAMN28062215	PRJNA834801
SRR19064324	SAMN28062212	PRJNA834801
SRR19064325	SAMN28062211	PRJNA834801
SRR19064335	SAMN28062146	PRJNA834801
SRR19064339	SAMN28062143	PRJNA834801
SRR19064346	SAMN28062136	PRJNA834801
SRR19064348	SAMN28062059	PRJNA834801
SRR19064349	SAMN28062058	PRJNA834801
SRR19064351	SAMN28062060	PRJNA834801
SRR19064355	SAMN28061667	PRJNA834801
SRR19064356	SAMN28062052	PRJNA834801
SRR19064357	SAMN28062051	PRJNA834801
SRR19064360	SAMN28062049	PRJNA834801
SRR19064363	SAMN28062046	PRJNA834801
SRR19064366	SAMN28062043	PRJNA834801
SRR19064368	SAMN28062042	PRJNA834801
SRR19064369	SAMN28062041	PRJNA834801
SRR19064371	SAMN28061741	PRJNA834801
SRR19064376	SAMN28061737	PRJNA834801
SRR19064380	SAMN28061733	PRJNA834801
SRR19064381	SAMN28061735	PRJNA834801
SRR19064384	SAMN28061730	PRJNA834801
SRR19064386	SAMN28061727	PRJNA834801
SRR19064388	SAMN28061725	PRJNA834801
SRR19064390	SAMN28061724	PRJNA834801
SRR19064391	SAMN28061634	PRJNA834801
SRR19064392	SAMN28061944	PRJNA834801
SRR19064394	SAMN28061942	PRJNA834801
SRR19064398	SAMN28061939	PRJNA834801
SRR19064399	SAMN28061938	PRJNA834801
SRR19064400	SAMN28061937	PRJNA834801
SRR19064405	SAMN28061935	PRJNA834801
SRR19064406	SAMN28061932	PRJNA834801
SRR19064407	SAMN28061931	PRJNA834801
SRR19064412	SAMN28061926	PRJNA834801
SRR19064413	SAMN28061907	PRJNA834801
SRR19064414	SAMN28061906	PRJNA834801
SRR19064415	SAMN28061904	PRJNA834801
SRR19064417	SAMN28061903	PRJNA834801
SRR19064423	SAMN28061898	PRJNA834801
SRR19064425	SAMN28061896	PRJNA834801
SRR19064431	SAMN28061891	PRJNA834801
SRR19064435	SAMN28061777	PRJNA834801
SRR19064441	SAMN28061772	PRJNA834801
SRR19064442	SAMN28061771	PRJNA834801
SRR19064449	SAMN28061764	PRJNA834801
SRR19064452	SAMN28061762	PRJNA834801
SRR19064453	SAMN28061625	PRJNA834801
SRR19064455	SAMN28062318	PRJNA834801
SRR19064457	SAMN28062316	PRJNA834801
SRR19064460	SAMN28061693	PRJNA834801
SRR19064464	SAMN28062310	PRJNA834801
SRR19064465	SAMN28062309	PRJNA834801
SRR19064473	SAMN28062302	PRJNA834801
SRR19064475	SAMN28062263	PRJNA834801
SRR19064477	SAMN28062261	PRJNA834801
SRR19064478	SAMN28062260	PRJNA834801
SRR19064483	SAMN28062255	PRJNA834801
SRR19064484	SAMN28062254	PRJNA834801
SRR19064492	SAMN28062247	PRJNA834801
SRR19064494	SAMN28062245	PRJNA834801
SRR19064497	SAMN28062187	PRJNA834801
SRR19064498	SAMN28062186	PRJNA834801
SRR19064499	SAMN28062185	PRJNA834801
SRR19064500	SAMN28062188	PRJNA834801
SRR19064503	SAMN28062183	PRJNA834801
SRR19064506	SAMN28062180	PRJNA834801
SRR19064509	SAMN28062177	PRJNA834801
SRR19064510	SAMN28062176	PRJNA834801
SRR19064511	SAMN28062175	PRJNA834801
SRR19064512	SAMN28062174	PRJNA834801
SRR19064513	SAMN28061679	PRJNA834801
SRR19064520	SAMN28062113	PRJNA834801
SRR19064522	SAMN28062111	PRJNA834801
SRR19064524	SAMN28062109	PRJNA834801
SRR19064525	SAMN28062107	PRJNA834801
SRR19064526	SAMN28062106	PRJNA834801
SRR19064527	SAMN28062105	PRJNA834801
SRR19064529	SAMN28062104	PRJNA834801
SRR19064532	SAMN28062102	PRJNA834801
SRR19064533	SAMN28062101	PRJNA834801
SRR19064535	SAMN28062228	PRJNA834801
SRR19064537	SAMN28062172	PRJNA834801
SRR19064539	SAMN28062170	PRJNA834801
SRR19064551	SAMN28062159	PRJNA834801
SRR19064553	SAMN28062156	PRJNA834801
SRR19064554	SAMN28062155	PRJNA834801
SRR19064555	SAMN28062158	PRJNA834801
SRR19064557	SAMN28061677	PRJNA834801
SRR19064558	SAMN28062098	PRJNA834801
SRR19064559	SAMN28062097	PRJNA834801
SRR19064562	SAMN28061671	PRJNA834801
SRR19064564	SAMN28062093	PRJNA834801
SRR19064566	SAMN28062091	PRJNA834801
SRR19064569	SAMN28062087	PRJNA834801
SRR19064571	SAMN28062089	PRJNA834801
SRR19064572	SAMN28062085	PRJNA834801
SRR19064573	SAMN28062084	PRJNA834801
SRR19064577	SAMN28062080	PRJNA834801
SRR19064578	SAMN28062022	PRJNA834801
SRR19064582	SAMN28062019	PRJNA834801
SRR19064585	SAMN28062015	PRJNA834801
SRR19064592	SAMN28062009	PRJNA834801
SRR19064598	SAMN28062004	PRJNA834801
SRR19064602	SAMN28061961	PRJNA834801
SRR19064603	SAMN28061960	PRJNA834801
SRR19064608	SAMN28061956	PRJNA834801
SRR19064609	SAMN28061955	PRJNA834801
SRR19064612	SAMN28061952	PRJNA834801
SRR19064613	SAMN28061954	PRJNA834801
SRR19064614	SAMN28061951	PRJNA834801
SRR19064615	SAMN28061950	PRJNA834801
SRR19064619	SAMN28061946	PRJNA834801
SRR19064620	SAMN28061945	PRJNA834801
SRR19064621	SAMN28061925	PRJNA834801
SRR19064629	SAMN28061918	PRJNA834801
SRR19064630	SAMN28061917	PRJNA834801
SRR19064637	SAMN28061911	PRJNA834801
SRR19064640	SAMN28061909	PRJNA834801
SRR19064644	SAMN28061831	PRJNA834801
SRR19064649	SAMN28061826	PRJNA834801
SRR19064654	SAMN28061823	PRJNA834801
SRR19064660	SAMN28061817	PRJNA834801
SRR19064662	SAMN28061815	PRJNA834801
SRR19064664	SAMN28061643	PRJNA834801
SRR19064667	SAMN28061811	PRJNA834801
SRR19064668	SAMN28061810	PRJNA834801
SRR19064671	SAMN28061807	PRJNA834801
SRR19064318	SAMN28062216	PRJNA834801
SRR19064321	SAMN28062214	PRJNA834801
SRR19064323	SAMN28062213	PRJNA834801
SRR19064327	SAMN28062209	PRJNA834801
SRR19064336	SAMN28062145	PRJNA834801
SRR19064337	SAMN28062144	PRJNA834801
SRR19064343	SAMN28062139	PRJNA834801
SRR19064345	SAMN28062137	PRJNA834801
SRR19064350	SAMN28062057	PRJNA834801
SRR19064352	SAMN28062056	PRJNA834801
SRR19064354	SAMN28062054	PRJNA834801
SRR19064364	SAMN28062044	PRJNA834801
SRR19064365	SAMN28061666	PRJNA834801
SRR19064370	SAMN28061742	PRJNA834801
SRR19064372	SAMN28061740	PRJNA834801
SRR19064676	SAMN28061803	PRJNA834801
SRR19064373	SAMN28061743	PRJNA834801
SRR19064679	SAMN28061800	PRJNA834801
SRR19064374	SAMN28061739	PRJNA834801
SRR19064681	SAMN28061798	PRJNA834801
SRR19064375	SAMN28061738	PRJNA834801
SRR19064683	SAMN28061760	PRJNA834801
SRR19064377	SAMN28061736	PRJNA834801
SRR19064685	SAMN28061758	PRJNA834801
SRR19064379	SAMN28061635	PRJNA834801
SRR19064689	SAMN28061754	PRJNA834801
SRR19064383	SAMN28061731	PRJNA834801
SRR19064690	SAMN28061637	PRJNA834801
SRR19064395	SAMN28061941	PRJNA834801
SRR19064694	SAMN28061749	PRJNA834801
SRR19064401	SAMN28061936	PRJNA834801
SRR19064698	SAMN28061746	PRJNA834801
SRR19064402	SAMN28061934	PRJNA834801
SRR19064701	SAMN28061636	PRJNA834801
SRR19064403	SAMN28061655	PRJNA834801
SRR19064707	SAMN28061699	PRJNA834801
SRR19064416	SAMN28061652	PRJNA834801
SRR19064708	SAMN28061698	PRJNA834801
SRR19064418	SAMN28061905	PRJNA834801
SRR19064711	SAMN28062346	PRJNA834801
SRR19064419	SAMN28061902	PRJNA834801
SRR19064712	SAMN28062345	PRJNA834801
SRR19064422	SAMN28061899	PRJNA834801
SRR19064716	SAMN28062343	PRJNA834801
SRR19064718	SAMN28062341	PRJNA834801
SRR19064428	SAMN28061651	PRJNA834801
SRR19064429	SAMN28061893	PRJNA834801
SRR19064722	SAMN28062337	PRJNA834801
SRR19064433	SAMN28061779	PRJNA834801
SRR19064729	SAMN28062294	PRJNA834801
SRR19064730	SAMN28061691	PRJNA834801
SRR19064434	SAMN28061778	PRJNA834801
SRR19064436	SAMN28061776	PRJNA834801
SRR19064437	SAMN28061775	PRJNA834801
SRR19064438	SAMN28061774	PRJNA834801
SRR19064733	SAMN28062291	PRJNA834801
SRR19064440	SAMN28061773	PRJNA834801
SRR19064443	SAMN28061770	PRJNA834801
SRR19064444	SAMN28061769	PRJNA834801
SRR19064445	SAMN28061768	PRJNA834801
SRR19064735	SAMN28062289	PRJNA834801
SRR19064737	SAMN28062287	PRJNA834801
SRR19064740	SAMN28062284	PRJNA834801
SRR19064746	SAMN28061684	PRJNA834801
SRR19064748	SAMN28062223	PRJNA834801
SRR19064752	SAMN28062219	PRJNA834801
SRR19064756	SAMN28062127	PRJNA834801
SRR19064762	SAMN28061629	PRJNA834801
SRR19064765	SAMN28062121	PRJNA834801
SRR19064769	SAMN28062079	PRJNA834801
SRR19064770	SAMN28062082	PRJNA834801
SRR19064782	SAMN28062068	PRJNA834801
SRR19064784	SAMN28062065	PRJNA834801
SRR19064789	SAMN28062062	PRJNA834801
SRR19064790	SAMN28062061	PRJNA834801
SRR19064793	SAMN28062037	PRJNA834801
SRR19064794	SAMN28062036	PRJNA834801
SRR19064795	SAMN28062035	PRJNA834801
SRR19064804	SAMN28062031	PRJNA834801
SRR19064805	SAMN28062027	PRJNA834801
SRR19064806	SAMN28062026	PRJNA834801
SRR19064807	SAMN28062025	PRJNA834801
SRR19064815	SAMN28061999	PRJNA834801
SRR19064446	SAMN28061767	PRJNA834801
SRR19064817	SAMN28061997	PRJNA834801
SRR19064447	SAMN28061766	PRJNA834801
SRR19064819	SAMN28061994	PRJNA834801
SRR19064820	SAMN28061661	PRJNA834801
SRR19064822	SAMN28061995	PRJNA834801
SRR19064827	SAMN28061987	PRJNA834801
SRR19064830	SAMN28061988	PRJNA834801
SRR19064831	SAMN28061984	PRJNA834801
SRR19064834	SAMN28061982	PRJNA834801
SRR19064836	SAMN28061980	PRJNA834801
SRR19064838	SAMN28061978	PRJNA834801
SRR19064840	SAMN28061975	PRJNA834801
SRR19064841	SAMN28061974	PRJNA834801
SRR19064845	SAMN28061972	PRJNA834801
SRR19064853	SAMN28061964	PRJNA834801
SRR19064854	SAMN28061888	PRJNA834801
SRR19064857	SAMN28061889	PRJNA834801
SRR19064858	SAMN28061885	PRJNA834801
SRR19064862	SAMN28061881	PRJNA834801
SRR19064866	SAMN28061878	PRJNA834801
SRR19064867	SAMN28061877	PRJNA834801
SRR19064869	SAMN28061875	PRJNA834801
SRR19064450	SAMN28061638	PRJNA834801
SRR19064879	SAMN28061866	PRJNA834801
SRR19064884	SAMN28061862	PRJNA834801
SRR19064454	SAMN28061624	PRJNA834801
SRR19064885	SAMN28061861	PRJNA834801
SRR19064891	SAMN28061855	PRJNA834801
SRR19064456	SAMN28062317	PRJNA834801
SRR19064892	SAMN28061854	PRJNA834801
SRR19064458	SAMN28062315	PRJNA834801
SRR19064894	SAMN28061853	PRJNA834801
SRR19064463	SAMN28062311	PRJNA834801
SRR19064895	SAMN28061852	PRJNA834801
SRR19064896	SAMN28061851	PRJNA834801
SRR19064897	SAMN28061850	PRJNA834801
SRR19064904	SAMN28061646	PRJNA834801
SRR19064908	SAMN28061840	PRJNA834801
SRR19064909	SAMN28061839	PRJNA834801
SRR19064912	SAMN28061836	PRJNA834801
SRR19064913	SAMN28061835	PRJNA834801
SRR19064929	SAMN28061785	PRJNA834801
SRR19064933	SAMN28061782	PRJNA834801
SRR19064934	SAMN28061781	PRJNA834801
SRR19064939	SAMN28061720	PRJNA834801
SRR19064941	SAMN28061717	PRJNA834801
SRR19064943	SAMN28061715	PRJNA834801
SRR19064945	SAMN28061714	PRJNA834801
SRR19064947	SAMN28061713	PRJNA834801
SRR19064948	SAMN28061712	PRJNA834801
SRR19064949	SAMN28061710	PRJNA834801
SRR19064952	SAMN28061711	PRJNA834801
SRR19064468	SAMN28062306	PRJNA834801
SRR19064953	SAMN28061707	PRJNA834801
SRR19064469	SAMN28062305	PRJNA834801
SRR19064954	SAMN28061706	PRJNA834801
SRR19064955	SAMN28061705	PRJNA834801
SRR19064474	SAMN28062301	PRJNA834801
SRR19064957	SAMN28062244	PRJNA834801
SRR19064476	SAMN28062262	PRJNA834801
SRR19064482	SAMN28062256	PRJNA834801
SRR19064486	SAMN28062253	PRJNA834801
SRR19064961	SAMN28062241	PRJNA834801
SRR19064962	SAMN28062240	PRJNA834801
SRR19064967	SAMN28062238	PRJNA834801
SRR19064968	SAMN28062234	PRJNA834801
SRR19064490	SAMN28062249	PRJNA834801
SRR19064491	SAMN28062248	PRJNA834801
SRR19064493	SAMN28062246	PRJNA834801
SRR19064501	SAMN28062184	PRJNA834801
SRR19064505	SAMN28062181	PRJNA834801
SRR19064507	SAMN28062179	PRJNA834801
SRR19064508	SAMN28062178	PRJNA834801
SRR19064518	SAMN28062114	PRJNA834801
SRR19064519	SAMN28061673	PRJNA834801
SRR19064521	SAMN28062112	PRJNA834801
SRR19064523	SAMN28062110	PRJNA834801
SRR19064528	SAMN28062108	PRJNA834801
SRR19064530	SAMN28061672	PRJNA834801
SRR19064531	SAMN28062103	PRJNA834801
SRR19064534	SAMN28062100	PRJNA834801
SRR19064541	SAMN28062168	PRJNA834801
SRR19064542	SAMN28062167	PRJNA834801
SRR19064543	SAMN28062166	PRJNA834801
SRR19064544	SAMN28062165	PRJNA834801
SRR19064545	SAMN28062164	PRJNA834801
SRR19064547	SAMN28062163	PRJNA834801
SRR19064556	SAMN28062154	PRJNA834801
SRR19064969	SAMN28061685	PRJNA834801
SRR19064560	SAMN28062095	PRJNA834801
SRR19064974	SAMN28062336	PRJNA834801
SRR19064563	SAMN28062096	PRJNA834801
SRR19064976	SAMN28062335	PRJNA834801
SRR19064565	SAMN28062092	PRJNA834801
SRR19064984	SAMN28062328	PRJNA834801
SRR19064570	SAMN28062086	PRJNA834801
SRR19064576	SAMN28062081	PRJNA834801
SRR19064579	SAMN28061664	PRJNA834801
SRR19064987	SAMN28062324	PRJNA834801
SRR19064998	SAMN28062280	PRJNA834801
SRR19064583	SAMN28062018	PRJNA834801
SRR19064584	SAMN28062016	PRJNA834801
SRR19064586	SAMN28062014	PRJNA834801
SRR19064589	SAMN28062013	PRJNA834801
SRR19064590	SAMN28062012	PRJNA834801
SRR19064591	SAMN28062011	PRJNA834801
SRR19064593	SAMN28062008	PRJNA834801
SRR19064594	SAMN28062007	PRJNA834801
SRR19064595	SAMN28062010	PRJNA834801
SRR19064597	SAMN28062005	PRJNA834801
SRR19064599	SAMN28061662	PRJNA834801
SRR19064604	SAMN28061959	PRJNA834801
SRR19064606	SAMN28061958	PRJNA834801
SRR19064607	SAMN28061957	PRJNA834801
SRR19064611	SAMN28061953	PRJNA834801
SRR19064616	SAMN28061949	PRJNA834801
SRR19064999	SAMN28062279	PRJNA834801
SRR19064624	SAMN28061627	PRJNA834801
SRR19065000	SAMN28062278	PRJNA834801
SRR19064626	SAMN28061922	PRJNA834801
SRR19064627	SAMN28061921	PRJNA834801
SRR19065004	SAMN28062274	PRJNA834801
SRR19064628	SAMN28061919	PRJNA834801
SRR19065005	SAMN28061689	PRJNA834801
SRR19064631	SAMN28061920	PRJNA834801
SRR19065006	SAMN28062273	PRJNA834801
SRR19064633	SAMN28061915	PRJNA834801
SRR19065010	SAMN28062269	PRJNA834801
SRR19064634	SAMN28061914	PRJNA834801
SRR19065019	SAMN28062206	PRJNA834801
SRR19064636	SAMN28061912	PRJNA834801
SRR19064638	SAMN28061910	PRJNA834801
SRR19065020	SAMN28062205	PRJNA834801
SRR19065021	SAMN28062204	PRJNA834801
SRR19065022	SAMN28061682	PRJNA834801
SRR19065023	SAMN28062203	PRJNA834801
SRR19065024	SAMN28062202	PRJNA834801
SRR19064643	SAMN28061832	PRJNA834801
SRR19065027	SAMN28062199	PRJNA834801
SRR19064645	SAMN28061830	PRJNA834801
SRR19065029	SAMN28062197	PRJNA834801
SRR19064647	SAMN28061828	PRJNA834801
SRR19065031	SAMN28062195	PRJNA834801
SRR19064650	SAMN28061825	PRJNA834801
SRR19065035	SAMN28062192	PRJNA834801
SRR19064651	SAMN28061824	PRJNA834801
SRR19065038	SAMN28061675	PRJNA834801
SRR19064655	SAMN28061822	PRJNA834801
SRR19064656	SAMN28061821	PRJNA834801
SRR19064659	SAMN28061818	PRJNA834801
SRR19064661	SAMN28061816	PRJNA834801
SRR19064663	SAMN28061814	PRJNA834801
SRR19064665	SAMN28061813	PRJNA834801
SRR19064669	SAMN28061809	PRJNA834801
SRR19064670	SAMN28061808	PRJNA834801
SRR19064672	SAMN28061806	PRJNA834801
SRR19064674	SAMN28061804	PRJNA834801
SRR19064680	SAMN28061799	PRJNA834801
SRR19064695	SAMN28061748	PRJNA834801
SRR19064696	SAMN28061747	PRJNA834801
SRR19064697	SAMN28061750	PRJNA834801
SRR19064700	SAMN28061744	PRJNA834801
SRR19064702	SAMN28061703	PRJNA834801
SRR19064703	SAMN28061702	PRJNA834801
SRR19064705	SAMN28061632	PRJNA834801
SRR19064710	SAMN28062347	PRJNA834801
SRR19064719	SAMN28062340	PRJNA834801
SRR19064720	SAMN28062339	PRJNA834801
SRR19064721	SAMN28062338	PRJNA834801
SRR19064723	SAMN28062300	PRJNA834801
SRR19064724	SAMN28062299	PRJNA834801
SRR19064726	SAMN28062296	PRJNA834801
SRR19064727	SAMN28062295	PRJNA834801
SRR19064732	SAMN28062292	PRJNA834801
SRR19064734	SAMN28062290	PRJNA834801
SRR19064739	SAMN28062285	PRJNA834801
SRR19064741	SAMN28061690	PRJNA834801
SRR19064742	SAMN28062283	PRJNA834801
SRR19064743	SAMN28062226	PRJNA834801
SRR19064744	SAMN28062225	PRJNA834801
SRR19064749	SAMN28062222	PRJNA834801
SRR19064751	SAMN28062220	PRJNA834801
SRR19064754	SAMN28062130	PRJNA834801
SRR19064759	SAMN28062128	PRJNA834801
SRR19064767	SAMN28062119	PRJNA834801
SRR19064768	SAMN28062118	PRJNA834801
SRR19064773	SAMN28062076	PRJNA834801
SRR19064774	SAMN28062075	PRJNA834801
SRR19064775	SAMN28061669	PRJNA834801
SRR19064778	SAMN28062074	PRJNA834801
SRR19064780	SAMN28062070	PRJNA834801
SRR19064781	SAMN28062069	PRJNA834801
SRR19064787	SAMN28061668	PRJNA834801
SRR19064796	SAMN28062038	PRJNA834801
SRR19064798	SAMN28061665	PRJNA834801
SRR19064799	SAMN28062033	PRJNA834801
SRR19064810	SAMN28062023	PRJNA834801
SRR19064812	SAMN28062001	PRJNA834801
SRR19064813	SAMN28062000	PRJNA834801
SRR19064814	SAMN28062003	PRJNA834801
SRR19064821	SAMN28061993	PRJNA834801
SRR19064823	SAMN28061992	PRJNA834801
SRR19064825	SAMN28061990	PRJNA834801
