# Constructed from biom file
#OTU ID	SRR5431262	SRR5431266	SRR5431269	SRR5431272	SRR5431273	SRR5431274	SRR5431275	SRR5431280	SRR5431282	SRR5431286	SRR5431289	SRR5431291	SRR5431296	SRR5431298	SRR5431299	SRR5431303	SRR5431305	SRR5431306	SRR5431308	SRR5431310	SRR5431311	SRR5431312	SRR5431317	SRR5431323	SRR5431326	SRR5431337	SRR5431338	SRR5431339	SRR5431341	SRR5431343	SRR5431344	SRR5431346	SRR5431350	SRR5431351	SRR5431355	SRR5431358	SRR5431359	SRR5431361	SRR5431368	SRR5431376	SRR5431381	SRR5431382	SRR5431384	SRR5431386	SRR5431396	SRR5431397	SRR5431398	SRR5431400	SRR5431401	SRR5431405	SRR5431407	SRR5431412	SRR5431413	SRR5431414	SRR5431415	SRR5431419	SRR5431421	SRR5431425	SRR5431428	SRR5431437	SRR5431443	SRR5431445	SRR5431448	SRR5431450	SRR5431451	SRR5431452	SRR5431453	SRR5431457	SRR5431461	SRR5431466	SRR5431473	SRR5431475	SRR5431478	SRR5431481	SRR5431483	SRR5431486	SRR5431488	SRR5431491	SRR5431495	SRR5431498	SRR5431502	SRR5431503	SRR5431507	SRR5431509	SRR5431515	SRR5431517	SRR5431520	SRR5431523	SRR5431525	SRR5431527	SRR5431532	SRR5431537	SRR5431539	SRR5431545	SRR5431547	SRR5431550	SRR5431552	SRR5431553	SRR5431555	SRR5431559	SRR5431561	SRR5431563	SRR5431565	SRR5431568	SRR5431570	SRR5431575	SRR5431577	SRR5440328	SRR5440330	SRR5440334	SRR5440343	SRR5440349	SRR5440352	SRR5440354	SRR5440355	SRR5440357	SRR5440359	SRR5440360	SRR5440361	SRR5440369	SRR5440372	SRR5440375
498bbda07dd3cd208a902ba17b376852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20754.0	18211.0	8.0	17.0	0.0	0.0	1165.0	189.0	26789.0	0.0	0.0	77949.0	2379.0	9483.0	0.0	0.0	0.0	17605.0	582.0	17239.0	674.0	12450.0	51986.0	11.0	0.0	2724.0	0.0	0.0	115.0	40140.0	13234.0	68511.0	0.0	0.0	29284.0	22303.0	0.0	932.0	24941.0	0.0	30807.0	13566.0	42827.0	48545.0	19584.0	18508.0	0.0	345.0	64.0	16333.0	53251.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	14.0	0.0	0.0	5.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
da13ce46deb6c3b8912d83d676bd3b5d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1522.0	1123.0	17569.0	51050.0	0.0	2795.0	0.0	968.0	5550.0	2460.0	71.0	3216.0	0.0	6628.0	5586.0	0.0	182.0	3172.0	88.0	0.0	0.0	6607.0	3154.0	3165.0	0.0	19564.0	1489.0	0.0	1484.0	3601.0	0.0	420.0	7806.0	45170.0	2366.0	929.0	567.0	195.0	7301.0	0.0	0.0	2419.0	25837.0	8340.0	2129.0	1884.0	78.0	0.0	77.0	5053.0	2452.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
b350743970d96f85f20b8698475f2960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6145.0	2326.0	612.0	53.0	9523.0	3172.0	779.0	4329.0	1364.0	4593.0	3011.0	810.0	10824.0	1519.0	788.0	5107.0	3590.0	5656.0	3081.0	5913.0	835.0	6066.0	1924.0	3184.0	8536.0	12189.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	567.0	5.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	2131.0	0.0	0.0	342.0	0.0	0.0	0.0	85.0	0.0	0.0	25.0	0.0	0.0	0.0	246.0	0.0	0.0	20921.0	33698.0	28132.0	15634.0	0.0	141.0	11.0	0.0	0.0	389.0	0.0	2917.0	0.0	4348.0	0.0	0.0	7531.0	0.0	0.0	0.0	0.0
87ed440209aeeb004037182426e9e5aa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26112.0	4815.0	14644.0	89.0	4638.0	1731.0	5702.0	32625.0	3627.0	1462.0	624.0	1561.0	14506.0	256.0	6563.0	13470.0	1420.0	89.0	13124.0	23054.0	5076.0	157.0	4765.0	3307.0	6791.0	3020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1866.0	2785.0	1804.0	1192.0	23.0	0.0	0.0	0.0	0.0	133.0	0.0	28.0	0.0	0.0	0.0	0.0	939.0	0.0	0.0	0.0	0.0
55de5032467d65a7a3fed548f3be0347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	1597.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100208.0	285.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	1425.0	15136.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	15.0	11.0	263.0	0.0	12187.0	39034.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1fc98fd22e675f0596ecab4b1267fb6c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10881.0	46.0	120.0	18.0	327.0	136.0	68.0	657.0	31.0	0.0	135.0	58.0	1355.0	56.0	1478.0	0.0	268.0	27.0	100.0	7521.0	1647.0	4026.0	1334.0	147.0	51.0	0.0	0.0	0.0	721.0	0.0	0.0	0.0	0.0	0.0	0.0	1212.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1019.0	0.0	0.0	0.0	0.0	0.0	0.0	11109.0	0.0	261.0	792.0	0.0	0.0	176.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	16799.0	26915.0	32758.0	11205.0	0.0	118.0	14.0	0.0	0.0	277.0	0.0	1102.0	0.0	3874.0	0.0	0.0	8391.0	0.0	0.0	0.0	0.0
60bfd40fa7814f97a500155dcf041f2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8033.0	0.0	0.0	0.0	347.0	0.0	2344.0	11.0	15038.0	0.0	1648.0	2886.0	0.0	760.0	45523.0	0.0	302.0	345.0	91.0	0.0	6.0	330.0	6.0	0.0	0.0	1969.0	0.0	0.0	0.0	17730.0	1944.0	0.0	10.0	0.0	5830.0	18544.0	0.0	0.0	4.0	0.0	13.0	0.0	0.0	0.0	0.0	7953.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
aec206a2df3e1089e367b5ded969c450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	304.0	0.0	0.0	308.0	192.0	0.0	0.0	14016.0	0.0	0.0	1425.0	0.0	517.0	0.0	32.0	1209.0	58.0	5627.0	1293.0	16872.0	55.0	21549.0	0.0	0.0	1380.0	0.0	0.0	0.0	17950.0	0.0	1279.0	0.0	0.0	13525.0	25166.0	0.0	0.0	2640.0	0.0	0.0	0.0	0.0	0.0	92.0	1539.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	848.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18581dc8241b93e347cd459f5a9c9857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5509.0	718.0	0.0	0.0	0.0	0.0	36.0	42.0	442.0	0.0	0.0	20604.0	298.0	1805.0	0.0	0.0	42.0	666.0	57.0	801.0	407.0	3238.0	2073.0	703.0	0.0	2147.0	0.0	0.0	17.0	26759.0	2220.0	3527.0	0.0	0.0	26270.0	1567.0	533.0	131.0	2366.0	0.0	4486.0	4879.0	2921.0	3944.0	1232.0	488.0	0.0	400.0	436.0	3646.0	2583.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16b69d5111ac753983dab2844eb6a0c5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1474.0	114.0	14698.0	4799.0	8.0	4927.0	69.0	152.0	16520.0	3485.0	153.0	334.0	32.0	6166.0	1210.0	0.0	11.0	4967.0	127.0	268.0	11.0	0.0	6400.0	4972.0	23.0	1920.0	307.0	84.0	0.0	238.0	697.0	509.0	6349.0	10504.0	1508.0	968.0	1594.0	803.0	2087.0	0.0	2094.0	802.0	1176.0	5590.0	8921.0	1004.0	340.0	336.0	35.0	2690.0	3384.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	240.0	30.0	0.0
