alias,project_id,sample_id
DC208,PRJNA834801,SAMN28061783
DC209,PRJNA834801,SAMN28061784
DC211,PRJNA834801,SAMN28061785
DC212,PRJNA834801,SAMN28061786
DC213,PRJNA834801,SAMN28061787
DC214,PRJNA834801,SAMN28061788
DC215,PRJNA834801,SAMN28061789
DC216,PRJNA834801,SAMN28061790
DC217,PRJNA834801,SAMN28061791
DC218,PRJNA834801,SAMN28061792
DC219,PRJNA834801,SAMN28061793
DC221,PRJNA834801,SAMN28061794
DC223,PRJNA834801,SAMN28061795
DC224,PRJNA834801,SAMN28061796
DC226,PRJNA834801,SAMN28061797
DC229,PRJNA834801,SAMN28061798
DC230,PRJNA834801,SAMN28061799
DC231,PRJNA834801,SAMN28061800
DC232,PRJNA834801,SAMN28061801
DC234,PRJNA834801,SAMN28061802
DC235,PRJNA834801,SAMN28061803
DC239,PRJNA834801,SAMN28061804
DC241,PRJNA834801,SAMN28061805
DC243,PRJNA834801,SAMN28061806
DC244,PRJNA834801,SAMN28061807
DC245,PRJNA834801,SAMN28061808
DC246,PRJNA834801,SAMN28061809
DC247,PRJNA834801,SAMN28061810
DC248,PRJNA834801,SAMN28061811
DC249,PRJNA834801,SAMN28061812
DC252,PRJNA834801,SAMN28061813
DC253,PRJNA834801,SAMN28061814
DC254,PRJNA834801,SAMN28061815
DC255,PRJNA834801,SAMN28061816
DC257,PRJNA834801,SAMN28061817
DC259,PRJNA834801,SAMN28061818
DC261,PRJNA834801,SAMN28061819
DC263,PRJNA834801,SAMN28061820
DC265,PRJNA834801,SAMN28061821
DC266,PRJNA834801,SAMN28061822
DC267,PRJNA834801,SAMN28061823
DC268,PRJNA834801,SAMN28061824
DC269,PRJNA834801,SAMN28061825
DC270,PRJNA834801,SAMN28061826
DC271,PRJNA834801,SAMN28061827
DC273,PRJNA834801,SAMN28061828
DC274,PRJNA834801,SAMN28061829
DC276,PRJNA834801,SAMN28061830
DC277,PRJNA834801,SAMN28061831
DC279,PRJNA834801,SAMN28061832
DC281,PRJNA834801,SAMN28061833
DC282,PRJNA834801,SAMN28061834
DC283,PRJNA834801,SAMN28061835
DC285,PRJNA834801,SAMN28061836
DC287,PRJNA834801,SAMN28061837
DC288,PRJNA834801,SAMN28061838
DC290,PRJNA834801,SAMN28061839
DC291,PRJNA834801,SAMN28061840
DC292,PRJNA834801,SAMN28061841
DC293,PRJNA834801,SAMN28061842
DC294,PRJNA834801,SAMN28061843
DC296,PRJNA834801,SAMN28061844
DC297,PRJNA834801,SAMN28061845
DC298,PRJNA834801,SAMN28061846
DC300,PRJNA834801,SAMN28061847
DC302,PRJNA834801,SAMN28061848
DC305,PRJNA834801,SAMN28061849
DC307,PRJNA834801,SAMN28061850
DC308,PRJNA834801,SAMN28061851
DC310,PRJNA834801,SAMN28061852
DC312,PRJNA834801,SAMN28061853
DC313,PRJNA834801,SAMN28061854
DC314,PRJNA834801,SAMN28061855
