alias,project_id,sample_id
DP642,PRJNA834801,SAMN28062343
DP640,PRJNA834801,SAMN28062341
DP634,PRJNA834801,SAMN28062337
DP577,PRJNA834801,SAMN28062294
DC094,PRJNA834801,SAMN28061691
DP572,PRJNA834801,SAMN28062291
DP570,PRJNA834801,SAMN28062289
DP568,PRJNA834801,SAMN28062287
DP564,PRJNA834801,SAMN28062284
DC081,PRJNA834801,SAMN28061684
DP480,PRJNA834801,SAMN28062223
DP474,PRJNA834801,SAMN28062219
DP351,PRJNA834801,SAMN28062127
DC007,PRJNA834801,SAMN28061629
DP344,PRJNA834801,SAMN28062121
DP292,PRJNA834801,SAMN28062079
DP295,PRJNA834801,SAMN28062082
DP275,PRJNA834801,SAMN28062068
DP272,PRJNA834801,SAMN28062065
DP269,PRJNA834801,SAMN28062062
DP267,PRJNA834801,SAMN28062061
DP234,PRJNA834801,SAMN28062037
DP231,PRJNA834801,SAMN28062036
DP229,PRJNA834801,SAMN28062035
DP223,PRJNA834801,SAMN28062031
DP219,PRJNA834801,SAMN28062027
DP218,PRJNA834801,SAMN28062026
DP213,PRJNA834801,SAMN28062025
DP179,PRJNA834801,SAMN28061999
DP177,PRJNA834801,SAMN28061997
DP172,PRJNA834801,SAMN28061994
DC052,PRJNA834801,SAMN28061661
DP175,PRJNA834801,SAMN28061995
DP164,PRJNA834801,SAMN28061987
DP165,PRJNA834801,SAMN28061988
DP160,PRJNA834801,SAMN28061984
DP158,PRJNA834801,SAMN28061982
DP156,PRJNA834801,SAMN28061980
DP154,PRJNA834801,SAMN28061978
DP151,PRJNA834801,SAMN28061975
DP150,PRJNA834801,SAMN28061974
DP148,PRJNA834801,SAMN28061972
DP136,PRJNA834801,SAMN28061964
DP038,PRJNA834801,SAMN28061888
DP039,PRJNA834801,SAMN28061889
DP032,PRJNA834801,SAMN28061885
DP028,PRJNA834801,SAMN28061881
DP025,PRJNA834801,SAMN28061878
DP024,PRJNA834801,SAMN28061877
DP021,PRJNA834801,SAMN28061875
DP009,PRJNA834801,SAMN28061866
DP005,PRJNA834801,SAMN28061862
DP004,PRJNA834801,SAMN28061861
DC314,PRJNA834801,SAMN28061855
DC313,PRJNA834801,SAMN28061854
DC312,PRJNA834801,SAMN28061853
DC310,PRJNA834801,SAMN28061852
DC308,PRJNA834801,SAMN28061851
DC307,PRJNA834801,SAMN28061850
DC029,PRJNA834801,SAMN28061646
DC291,PRJNA834801,SAMN28061840
DC290,PRJNA834801,SAMN28061839
DC285,PRJNA834801,SAMN28061836
DC283,PRJNA834801,SAMN28061835
DC211,PRJNA834801,SAMN28061785
DC206,PRJNA834801,SAMN28061782
DC205,PRJNA834801,SAMN28061781
DC126,PRJNA834801,SAMN28061720
DC121,PRJNA834801,SAMN28061717
DC119,PRJNA834801,SAMN28061715
DC118,PRJNA834801,SAMN28061714
DC117,PRJNA834801,SAMN28061713
DC115,PRJNA834801,SAMN28061712
DC113,PRJNA834801,SAMN28061710
DC114,PRJNA834801,SAMN28061711
DC110,PRJNA834801,SAMN28061707
DC109,PRJNA834801,SAMN28061706
DC108,PRJNA834801,SAMN28061705
DP507,PRJNA834801,SAMN28062244
DP503,PRJNA834801,SAMN28062241
DP502,PRJNA834801,SAMN28062240
DP500,PRJNA834801,SAMN28062238
DP495,PRJNA834801,SAMN28062234
DC082,PRJNA834801,SAMN28061685
DP632,PRJNA834801,SAMN28062336
DP631,PRJNA834801,SAMN28062335
DP622,PRJNA834801,SAMN28062328
DP618,PRJNA834801,SAMN28062324
DP558,PRJNA834801,SAMN28062280
DP556,PRJNA834801,SAMN28062279
DP554,PRJNA834801,SAMN28062278
DP548,PRJNA834801,SAMN28062274
DC090,PRJNA834801,SAMN28061689
DP547,PRJNA834801,SAMN28062273
DP542,PRJNA834801,SAMN28062269
DP455,PRJNA834801,SAMN28062206
DP454,PRJNA834801,SAMN28062205
DP453,PRJNA834801,SAMN28062204
DC078,PRJNA834801,SAMN28061682
DP452,PRJNA834801,SAMN28062203
DP451,PRJNA834801,SAMN28062202
DP448,PRJNA834801,SAMN28062199
DP446,PRJNA834801,SAMN28062197
DP444,PRJNA834801,SAMN28062195
DP440,PRJNA834801,SAMN28062192
DC070,PRJNA834801,SAMN28061675
DP317,PRJNA834801,SAMN28062099
DP472,PRJNA834801,SAMN28062217
DP473,PRJNA834801,SAMN28062218
DC079,PRJNA834801,SAMN28061683
DP460,PRJNA834801,SAMN28062210
DP389,PRJNA834801,SAMN28062153
DP385,PRJNA834801,SAMN28062152
DP384,PRJNA834801,SAMN28062151
DP383,PRJNA834801,SAMN28062150
DP382,PRJNA834801,SAMN28062149
DP381,PRJNA834801,SAMN28062148
DP380,PRJNA834801,SAMN28062147
DC071,PRJNA834801,SAMN28061676
DP373,PRJNA834801,SAMN28062142
DP371,PRJNA834801,SAMN28062141
DP369,PRJNA834801,SAMN28062140
DP367,PRJNA834801,SAMN28062138
DP361,PRJNA834801,SAMN28062135
DP260,PRJNA834801,SAMN28062055
DP253,PRJNA834801,SAMN28062050
DP256,PRJNA834801,SAMN28062053
DP250,PRJNA834801,SAMN28062048
DP249,PRJNA834801,SAMN28062047
DP245,PRJNA834801,SAMN28062045
DC149,PRJNA834801,SAMN28061734
DC147,PRJNA834801,SAMN28061732
DC140,PRJNA834801,SAMN28061729
DC137,PRJNA834801,SAMN28061726
DC139,PRJNA834801,SAMN28061728
DC042,PRJNA834801,SAMN28061656
DP101,PRJNA834801,SAMN28061940
DP107,PRJNA834801,SAMN28061943
DP091,PRJNA834801,SAMN28061933
