run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
SRR14711429	SAMN19513541	SRX11049498	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/029/SRR14711429/SRR14711429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/029/SRR14711429/SRR14711429_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/029/SRR14711429	
SRR14711430	SAMN19513540	SRX11049497	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/030/SRR14711430/SRR14711430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/030/SRR14711430/SRR14711430_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/030/SRR14711430	
SRR14711431	SAMN19513539	SRX11049496	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/031/SRR14711431/SRR14711431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/031/SRR14711431/SRR14711431_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/031/SRR14711431	
SRR14711433	SAMN19513537	SRX11049494	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/033/SRR14711433/SRR14711433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/033/SRR14711433/SRR14711433_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/033/SRR14711433	
SRR14711435	SAMN19513446	SRX11049492	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/035/SRR14711435	
SRR14711436	SAMN19513437	SRX11049491	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/036/SRR14711436	
SRR14711437	SAMN19513436	SRX11049490	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/037/SRR14711437	
SRR14711442	SAMN19513531	SRX11049485	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/042/SRR14711442/SRR14711442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/042/SRR14711442/SRR14711442_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/042/SRR14711442	
SRR14711447	SAMN19513526	SRX11049480	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/047/SRR14711447/SRR14711447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/047/SRR14711447/SRR14711447_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/047/SRR14711447	
SRR14711452	SAMN19513522	SRX11049475	PRJNA734525	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/052/SRR14711452/SRR14711452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/052/SRR14711452/SRR14711452_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR147/052/SRR14711452	
